ticket_segment_id,ticket_id,segment_sequence,flight_instance_id,cabin,fare_basis_code,segment_status
SEG-00073,TKT-00048,1,FLT-00233,C,CFLBIZ,flown
SEG-00074,TKT-00049,1,FLT-00233,C,CFLBIZ,flown
SEG-00075,TKT-00050,1,FLT-00706,C,CNRBIZ,flown
SEG-00076,TKT-00051,1,FLT-00158,C,CFLBIZ,confirmed
SEG-00077,TKT-00051,2,FLT-00173,C,CFLBIZ,confirmed
SEG-00078,TKT-00052,1,FLT-00056,C,CFLBIZ,flown
SEG-00079,TKT-00052,2,FLT-00032,C,CFLBIZ,flown
SEG-00080,TKT-00053,1,FLT-00056,C,CFLBIZ,flown
SEG-00081,TKT-00053,2,FLT-00032,C,CFLBIZ,flown
SEG-00082,TKT-00054,1,FLT-00056,C,CFLBIZ,flown
SEG-00083,TKT-00054,2,FLT-00032,C,CFLBIZ,flown
SEG-00084,TKT-00055,1,FLT-00384,F,FFLFST,flown
SEG-00085,TKT-00056,1,FLT-00126,C,CFLBIZ,flown
SEG-00086,TKT-00057,1,FLT-00656,Y,YFLECO,flown
SEG-00087,TKT-00058,1,FLT-00231,W,WFLPEY,flown
SEG-00088,TKT-00059,1,FLT-00231,W,WFLPEY,flown
SEG-00089,TKT-00060,1,FLT-00231,W,WFLPEY,flown
SEG-00090,TKT-00061,1,FLT-00141,C,CNRBIZ,flown
SEG-00091,TKT-00061,2,FLT-00171,C,CNRBIZ,flown
SEG-00092,TKT-00062,1,FLT-00613,Y,YFLECO,flown
SEG-00093,TKT-00063,1,FLT-00484,F,FFLFST,confirmed
SEG-00094,TKT-00063,2,FLT-00498,F,FFLFST,confirmed
SEG-00095,TKT-00064,1,FLT-00502,C,CFLBIZ,flown
SEG-00096,TKT-00065,1,FLT-00230,W,WFLPEY,cancelled
SEG-00097,TKT-00066,1,FLT-00230,W,WFLPEY,cancelled
SEG-00098,TKT-00067,1,FLT-00298,Y,QOWECO,flown
SEG-00099,TKT-00067,2,FLT-00288,Y,QOWECO,flown
SEG-00100,TKT-00068,1,FLT-00298,Y,QOWECO,flown
SEG-00101,TKT-00068,2,FLT-00288,Y,QOWECO,flown
SEG-00102,TKT-00069,1,FLT-00298,Y,QOWECO,flown
SEG-00103,TKT-00069,2,FLT-00288,Y,QOWECO,flown
SEG-00104,TKT-00070,1,FLT-00610,W,WFLPEY,flown
SEG-00105,TKT-00070,2,FLT-00640,W,WFLPEY,flown
SEG-00106,TKT-00071,1,FLT-00610,W,WFLPEY,flown
SEG-00107,TKT-00071,2,FLT-00640,W,WFLPEY,flown
SEG-00108,TKT-00072,1,FLT-00700,Y,QOWECO,confirmed
SEG-00109,TKT-00072,2,FLT-00714,Y,QOWECO,confirmed
SEG-00110,TKT-00073,1,FLT-00379,F,FFLFST,flown
SEG-00111,TKT-00074,1,FLT-00480,C,CFLBIZ,confirmed
SEG-00112,TKT-00074,2,FLT-00497,C,CFLBIZ,confirmed
SEG-00113,TKT-00075,1,FLT-00596,C,CFLBIZ,flown
SEG-00114,TKT-00075,2,FLT-00578,C,CFLBIZ,flown
SEG-00115,TKT-00076,1,FLT-00596,C,CFLBIZ,flown
SEG-00116,TKT-00076,2,FLT-00578,C,CFLBIZ,flown
SEG-00117,TKT-00077,1,FLT-00190,Y,YFLECO,flown
SEG-00118,TKT-00078,1,FLT-00190,Y,YFLECO,flown
SEG-00119,TKT-00079,1,FLT-00184,C,CFLBIZ,confirmed
SEG-00120,TKT-00080,1,FLT-00544,Y,QOWECO,flown
SEG-00121,TKT-00081,1,FLT-00504,C,CFLBIZ,flown
SEG-00122,TKT-00082,1,FLT-00504,C,CFLBIZ,flown
SEG-00123,TKT-00083,1,FLT-00809,Y,YFLECO,confirmed
SEG-00124,TKT-00084,1,FLT-00446,C,CFLBIZ,flown
SEG-00125,TKT-00085,1,FLT-00446,C,CFLBIZ,flown
SEG-00126,TKT-00086,1,FLT-00446,C,CFLBIZ,flown
SEG-00127,TKT-00087,1,FLT-00447,W,WFLPEY,flown
SEG-00128,TKT-00088,1,FLT-00447,W,WFLPEY,flown
SEG-00129,TKT-00089,1,FLT-00447,W,WFLPEY,flown
SEG-00130,TKT-00090,1,FLT-00133,W,WFLPEY,confirmed
SEG-00131,TKT-00091,1,FLT-00133,W,WFLPEY,confirmed
SEG-00132,TKT-00092,1,FLT-00270,C,CFLBIZ,confirmed
SEG-00133,TKT-00093,1,FLT-00270,C,CFLBIZ,confirmed
SEG-00134,TKT-00094,1,FLT-00397,W,WFLPEY,flown
SEG-00135,TKT-00095,1,FLT-00397,W,WFLPEY,flown
SEG-00136,TKT-00096,1,FLT-00608,Y,YFLECO,flown
SEG-00137,TKT-00097,1,FLT-00608,Y,YFLECO,flown
SEG-00138,TKT-00098,1,FLT-00608,Y,YFLECO,flown
SEG-00139,TKT-00099,1,FLT-00089,F,FFLFST,flown
SEG-00140,TKT-00099,2,FLT-00078,F,FFLFST,confirmed
SEG-00141,TKT-00100,1,FLT-00169,Y,YFLECO,flown
SEG-00142,TKT-00100,2,FLT-00151,Y,YFLECO,flown
SEG-00143,TKT-00101,1,FLT-00169,Y,YFLECO,flown
SEG-00144,TKT-00101,2,FLT-00151,Y,YFLECO,flown
SEG-00145,TKT-00102,1,FLT-00682,C,CFLBIZ,flown
SEG-00146,TKT-00103,1,FLT-00657,Y,QOWECO,flown
SEG-00147,TKT-00103,2,FLT-00670,Y,QOWECO,confirmed
SEG-00148,TKT-00104,1,FLT-00295,Y,YFLECO,confirmed
SEG-00149,TKT-00105,1,FLT-00295,Y,YFLECO,confirmed
SEG-00150,TKT-00106,1,FLT-00295,Y,YFLECO,confirmed
SEG-00151,TKT-00107,1,FLT-00526,W,WFLPEY,flown
SEG-00152,TKT-00108,1,FLT-00526,W,WFLPEY,flown
SEG-00153,TKT-00109,1,FLT-00526,W,WFLPEY,flown
SEG-00154,TKT-00110,1,FLT-00536,F,FFLFST,confirmed
SEG-00155,TKT-00111,1,FLT-00397,Y,YFLECO,flown
SEG-00156,TKT-00111,2,FLT-00426,Y,YFLECO,confirmed
SEG-00157,TKT-00112,1,FLT-00397,Y,YFLECO,flown
SEG-00158,TKT-00112,2,FLT-00426,Y,YFLECO,confirmed
SEG-00159,TKT-00113,1,FLT-00397,Y,YFLECO,flown
SEG-00160,TKT-00113,2,FLT-00426,Y,YFLECO,confirmed
SEG-00161,TKT-00114,1,FLT-00551,W,WFLPEY,confirmed
SEG-00162,TKT-00115,1,FLT-00551,W,WFLPEY,confirmed
SEG-00163,TKT-00116,1,FLT-00066,Y,YFLECO,confirmed
SEG-00164,TKT-00117,1,FLT-00066,Y,YFLECO,confirmed
SEG-00165,TKT-00118,1,FLT-00658,W,WFLPEY,confirmed
SEG-00166,TKT-00119,1,FLT-00657,W,WFLPEY,flown
SEG-00167,TKT-00120,1,FLT-00821,Y,QOWECO,confirmed
SEG-00168,TKT-00120,2,FLT-00809,Y,QOWECO,confirmed
SEG-00169,TKT-00121,1,FLT-00821,Y,QOWECO,confirmed
SEG-00170,TKT-00121,2,FLT-00809,Y,QOWECO,confirmed
SEG-00171,TKT-00122,1,FLT-00283,C,CFLBIZ,cancelled
SEG-00172,TKT-00123,1,FLT-00283,C,CFLBIZ,cancelled
SEG-00173,TKT-00124,1,FLT-00803,Y,YFLECO,confirmed
SEG-00174,TKT-00124,2,FLT-00820,Y,YFLECO,confirmed
SEG-00175,TKT-00125,1,FLT-00352,W,WFLPEY,flown
SEG-00176,TKT-00125,2,FLT-00382,W,WFLPEY,flown
SEG-00177,TKT-00126,1,FLT-00229,W,WFLPEY,flown
SEG-00178,TKT-00126,2,FLT-00222,W,WFLPEY,flown
SEG-00179,TKT-00127,1,FLT-00679,Y,YFLECO,flown
SEG-00180,TKT-00128,1,FLT-00679,Y,YFLECO,flown
SEG-00181,TKT-00129,1,FLT-00723,Y,QOWECO,flown
SEG-00182,TKT-00129,2,FLT-00751,Y,QOWECO,confirmed
SEG-00183,TKT-00130,1,FLT-00228,W,WFLPEY,confirmed
SEG-00184,TKT-00131,1,FLT-00228,W,WFLPEY,confirmed
SEG-00185,TKT-00132,1,FLT-00228,W,WFLPEY,confirmed
SEG-00186,TKT-00133,1,FLT-00081,Y,QOWECO,flown
SEG-00187,TKT-00133,2,FLT-00071,Y,QOWECO,flown
SEG-00188,TKT-00134,1,FLT-00599,W,WFLPEY,flown
SEG-00189,TKT-00135,1,FLT-00725,Y,QOWECO,confirmed
SEG-00190,TKT-00135,2,FLT-00754,Y,QOWECO,confirmed
SEG-00191,TKT-00136,1,FLT-00071,C,CNRBIZ,flown
SEG-00192,TKT-00136,2,FLT-00096,C,CNRBIZ,flown
SEG-00193,TKT-00137,1,FLT-00071,C,CNRBIZ,flown
SEG-00194,TKT-00137,2,FLT-00096,C,CNRBIZ,flown
SEG-00195,TKT-00138,1,FLT-00662,Y,YFLECO,flown
SEG-00196,TKT-00138,2,FLT-00660,Y,YFLECO,confirmed
SEG-00197,TKT-00139,1,FLT-00402,F,FFLFST,confirmed
SEG-00198,TKT-00139,2,FLT-00432,F,FFLFST,confirmed
SEG-00199,TKT-00140,1,FLT-00310,W,WFLPEY,flown
SEG-00200,TKT-00140,2,FLT-00293,W,WFLPEY,confirmed
SEG-00201,TKT-00141,1,FLT-00402,W,WFLPEY,confirmed
SEG-00202,TKT-00142,1,FLT-00402,W,WFLPEY,confirmed
SEG-00203,TKT-00143,1,FLT-00203,C,CFLBIZ,flown
SEG-00204,TKT-00143,2,FLT-00184,C,CFLBIZ,confirmed
SEG-00205,TKT-00144,1,FLT-00698,Y,QOWECO,confirmed
SEG-00206,TKT-00145,1,FLT-00546,C,CFLBIZ,flown
SEG-00207,TKT-00145,2,FLT-00565,C,CFLBIZ,confirmed
SEG-00208,TKT-00146,1,FLT-00002,C,CFLBIZ,flown
SEG-00209,TKT-00147,1,FLT-00695,Y,QOWECO,confirmed
SEG-00210,TKT-00148,1,FLT-00740,C,CFLBIZ,flown
SEG-00211,TKT-00149,1,FLT-00740,C,CFLBIZ,flown
SEG-00212,TKT-00150,1,FLT-00740,C,CFLBIZ,flown
SEG-00213,TKT-00151,1,FLT-00044,F,FFLFST,cancelled
SEG-00214,TKT-00151,2,FLT-00063,F,FFLFST,cancelled
SEG-00215,TKT-00152,1,FLT-00059,F,FFLFST,flown
SEG-00216,TKT-00153,1,FLT-00456,Y,YFLECO,confirmed
SEG-00217,TKT-00153,2,FLT-00444,Y,YFLECO,confirmed
SEG-00218,TKT-00154,1,FLT-00076,Y,QOWECO,confirmed
SEG-00219,TKT-00155,1,FLT-00076,Y,QOWECO,confirmed
SEG-00220,TKT-00156,1,FLT-00076,Y,QOWECO,confirmed
SEG-00221,TKT-00157,1,FLT-00250,W,WFLPEY,flown
SEG-00222,TKT-00157,2,FLT-00278,W,WFLPEY,flown
SEG-00223,TKT-00158,1,FLT-00250,W,WFLPEY,flown
SEG-00224,TKT-00158,2,FLT-00278,W,WFLPEY,flown
SEG-00225,TKT-00159,1,FLT-00558,Y,QOWECO,flown
SEG-00226,TKT-00160,1,FLT-00558,Y,QOWECO,flown
SEG-00227,TKT-00161,1,FLT-00774,C,CNRBIZ,flown
SEG-00228,TKT-00161,2,FLT-00765,C,CNRBIZ,flown
SEG-00229,TKT-00162,1,FLT-00774,C,CNRBIZ,flown
SEG-00230,TKT-00162,2,FLT-00765,C,CNRBIZ,flown
SEG-00231,TKT-00163,1,FLT-00774,C,CNRBIZ,flown
SEG-00232,TKT-00163,2,FLT-00765,C,CNRBIZ,flown
SEG-00233,TKT-00164,1,FLT-00607,C,CNRBIZ,flown
SEG-00234,TKT-00165,1,FLT-00607,C,CNRBIZ,flown
SEG-00235,TKT-00166,1,FLT-00607,C,CNRBIZ,flown
SEG-00236,TKT-00167,1,FLT-00434,C,CFLBIZ,flown
SEG-00237,TKT-00167,2,FLT-00450,C,CFLBIZ,flown
SEG-00238,TKT-00168,1,FLT-00111,C,CNRBIZ,flown
SEG-00239,TKT-00168,2,FLT-00130,C,CNRBIZ,confirmed
SEG-00240,TKT-00169,1,FLT-00767,W,WFLPEY,confirmed
SEG-00241,TKT-00169,2,FLT-00781,W,WFLPEY,confirmed
SEG-00242,TKT-00170,1,FLT-00767,W,WFLPEY,confirmed
SEG-00243,TKT-00170,2,FLT-00781,W,WFLPEY,confirmed
SEG-00244,TKT-00171,1,FLT-00084,F,FFLFST,flown
SEG-00245,TKT-00172,1,FLT-00084,F,FFLFST,flown
SEG-00246,TKT-00173,1,FLT-00084,F,FFLFST,flown
SEG-00247,TKT-00174,1,FLT-00207,W,WFLPEY,flown
SEG-00248,TKT-00175,1,FLT-00207,W,WFLPEY,flown
SEG-00249,TKT-00176,1,FLT-00656,W,WFLPEY,flown
SEG-00250,TKT-00176,2,FLT-00673,W,WFLPEY,confirmed
SEG-00251,TKT-00177,1,FLT-00817,C,CFLBIZ,flown
SEG-00252,TKT-00177,2,FLT-00803,C,CFLBIZ,confirmed
SEG-00253,TKT-00178,1,FLT-00813,Y,QOWECO,flown
SEG-00254,TKT-00178,2,FLT-00790,Y,QOWECO,flown
SEG-00255,TKT-00179,1,FLT-00813,Y,QOWECO,flown
SEG-00256,TKT-00179,2,FLT-00790,Y,QOWECO,flown
SEG-00257,TKT-00180,1,FLT-00329,Y,QOWECO,flown
SEG-00258,TKT-00181,1,FLT-00107,C,CFLBIZ,confirmed
SEG-00259,TKT-00181,2,FLT-00079,C,CFLBIZ,confirmed
SEG-00260,TKT-00182,1,FLT-00326,W,WFLPEY,cancelled
SEG-00261,TKT-00182,2,FLT-00344,W,WFLPEY,cancelled
SEG-00262,TKT-00183,1,FLT-00003,F,FFLFST,flown
SEG-00263,TKT-00184,1,FLT-00294,C,CNRBIZ,confirmed
SEG-00264,TKT-00185,1,FLT-00595,Y,YFLECO,flown
SEG-00265,TKT-00185,2,FLT-00582,Y,YFLECO,flown
SEG-00266,TKT-00186,1,FLT-00396,F,FFLFST,flown
SEG-00267,TKT-00186,2,FLT-00423,F,FFLFST,flown
SEG-00268,TKT-00187,1,FLT-00396,F,FFLFST,flown
SEG-00269,TKT-00187,2,FLT-00423,F,FFLFST,flown
SEG-00270,TKT-00188,1,FLT-00263,Y,YFLECO,confirmed
SEG-00271,TKT-00188,2,FLT-00282,Y,YFLECO,confirmed
SEG-00272,TKT-00189,1,FLT-00288,C,CNRBIZ,flown
SEG-00273,TKT-00189,2,FLT-00313,C,CNRBIZ,flown
SEG-00274,TKT-00190,1,FLT-00288,C,CNRBIZ,flown
SEG-00275,TKT-00190,2,FLT-00313,C,CNRBIZ,flown
SEG-00276,TKT-00191,1,FLT-00288,C,CNRBIZ,flown
SEG-00277,TKT-00191,2,FLT-00313,C,CNRBIZ,flown
SEG-00278,TKT-00192,1,FLT-00157,W,WFLPEY,confirmed
SEG-00279,TKT-00193,1,FLT-00757,C,CNRBIZ,flown
SEG-00280,TKT-00193,2,FLT-00781,C,CNRBIZ,confirmed
SEG-00281,TKT-00194,1,FLT-00757,C,CNRBIZ,flown
SEG-00282,TKT-00194,2,FLT-00781,C,CNRBIZ,confirmed
SEG-00283,TKT-00195,1,FLT-00757,C,CNRBIZ,flown
SEG-00284,TKT-00195,2,FLT-00781,C,CNRBIZ,confirmed
SEG-00285,TKT-00196,1,FLT-00598,F,FFLFST,flown
SEG-00286,TKT-00197,1,FLT-00598,F,FFLFST,flown
SEG-00287,TKT-00198,1,FLT-00598,Y,QOWECO,flown
SEG-00288,TKT-00199,1,FLT-00811,Y,YFLECO,flown
SEG-00289,TKT-00199,2,FLT-00791,Y,YFLECO,flown
SEG-00290,TKT-00200,1,FLT-00306,W,WFLPEY,flown
SEG-00291,TKT-00200,2,FLT-00292,W,WFLPEY,confirmed
SEG-00292,TKT-00201,1,FLT-00306,W,WFLPEY,flown
SEG-00293,TKT-00201,2,FLT-00292,W,WFLPEY,confirmed
SEG-00294,TKT-00202,1,FLT-00306,W,WFLPEY,flown
SEG-00295,TKT-00202,2,FLT-00292,W,WFLPEY,confirmed
SEG-00296,TKT-00203,1,FLT-00489,C,CFLBIZ,flown
SEG-00297,TKT-00203,2,FLT-00477,C,CFLBIZ,flown
SEG-00298,TKT-00204,1,FLT-00540,Y,YFLECO,confirmed
SEG-00299,TKT-00205,1,FLT-00540,Y,YFLECO,confirmed
SEG-00300,TKT-00206,1,FLT-00821,Y,QOWECO,confirmed
SEG-00301,TKT-00206,2,FLT-00810,Y,QOWECO,confirmed
SEG-00302,TKT-00207,1,FLT-00437,Y,YFLECO,flown
SEG-00303,TKT-00207,2,FLT-00452,Y,YFLECO,flown
SEG-00304,TKT-00208,1,FLT-00437,Y,YFLECO,flown
SEG-00305,TKT-00208,2,FLT-00452,Y,YFLECO,flown
SEG-00306,TKT-00209,1,FLT-00676,C,CFLBIZ,flown
SEG-00307,TKT-00210,1,FLT-00457,F,FFLFST,confirmed
SEG-00308,TKT-00211,1,FLT-00457,F,FFLFST,confirmed
SEG-00309,TKT-00212,1,FLT-00457,F,FFLFST,confirmed
SEG-00310,TKT-00213,1,FLT-00851,Y,QOWECO,flown
SEG-00311,TKT-00213,2,FLT-00830,Y,QOWECO,flown
SEG-00312,TKT-00214,1,FLT-00851,Y,QOWECO,flown
SEG-00313,TKT-00214,2,FLT-00830,Y,QOWECO,flown
SEG-00314,TKT-00215,1,FLT-00383,C,CFLBIZ,flown
SEG-00315,TKT-00215,2,FLT-00371,C,CFLBIZ,confirmed
SEG-00316,TKT-00216,1,FLT-00752,W,WFLPEY,confirmed
SEG-00317,TKT-00216,2,FLT-00727,W,WFLPEY,confirmed
SEG-00318,TKT-00217,1,FLT-00834,C,CNRBIZ,confirmed
SEG-00319,TKT-00217,2,FLT-00864,C,CNRBIZ,confirmed
SEG-00320,TKT-00218,1,FLT-00834,C,CNRBIZ,confirmed
SEG-00321,TKT-00218,2,FLT-00864,C,CNRBIZ,confirmed
SEG-00322,TKT-00219,1,FLT-00060,C,CNRBIZ,flown
SEG-00323,TKT-00219,2,FLT-00046,C,CNRBIZ,flown
SEG-00324,TKT-00220,1,FLT-00503,C,CFLBIZ,flown
SEG-00325,TKT-00221,1,FLT-00140,W,WFLPEY,flown
SEG-00326,TKT-00221,2,FLT-00171,W,WFLPEY,flown
SEG-00327,TKT-00222,1,FLT-00140,W,WFLPEY,flown
SEG-00328,TKT-00222,2,FLT-00171,W,WFLPEY,flown
SEG-00329,TKT-00223,1,FLT-00140,W,WFLPEY,flown
SEG-00330,TKT-00223,2,FLT-00171,W,WFLPEY,flown
SEG-00331,TKT-00224,1,FLT-00660,C,CNRBIZ,confirmed
SEG-00332,TKT-00224,2,FLT-00673,C,CNRBIZ,confirmed
SEG-00333,TKT-00225,1,FLT-00783,W,WFLPEY,flown
SEG-00334,TKT-00226,1,FLT-00783,W,WFLPEY,flown
SEG-00335,TKT-00227,1,FLT-00810,Y,QOWECO,confirmed
SEG-00336,TKT-00228,1,FLT-00124,F,FFLFST,flown
SEG-00337,TKT-00229,1,FLT-00124,F,FFLFST,flown
SEG-00338,TKT-00230,1,FLT-00791,C,CNRBIZ,flown
SEG-00339,TKT-00230,2,FLT-00817,C,CNRBIZ,flown
SEG-00340,TKT-00231,1,FLT-00791,C,CNRBIZ,flown
SEG-00341,TKT-00231,2,FLT-00817,C,CNRBIZ,flown
SEG-00342,TKT-00232,1,FLT-00791,C,CNRBIZ,flown
SEG-00343,TKT-00232,2,FLT-00817,C,CNRBIZ,flown
SEG-00344,TKT-00233,1,FLT-00541,F,FFLFST,flown
SEG-00345,TKT-00233,2,FLT-00558,F,FFLFST,flown
SEG-00346,TKT-00234,1,FLT-00659,Y,YFLECO,confirmed
SEG-00347,TKT-00235,1,FLT-00659,Y,YFLECO,confirmed
SEG-00348,TKT-00236,1,FLT-00169,C,CFLBIZ,flown
SEG-00349,TKT-00236,2,FLT-00151,C,CFLBIZ,flown
SEG-00350,TKT-00237,1,FLT-00507,F,FFLFST,flown
SEG-00351,TKT-00237,2,FLT-00539,F,FFLFST,confirmed
SEG-00352,TKT-00238,1,FLT-00330,Y,YFLECO,flown
SEG-00353,TKT-00239,1,FLT-00818,C,CNRBIZ,flown
SEG-00354,TKT-00240,1,FLT-00818,C,CNRBIZ,flown
SEG-00355,TKT-00241,1,FLT-00789,F,FFLFST,flown
SEG-00356,TKT-00241,2,FLT-00814,F,FFLFST,flown
SEG-00357,TKT-00242,1,FLT-00535,W,WFLPEY,confirmed
SEG-00358,TKT-00242,2,FLT-00510,W,WFLPEY,confirmed
SEG-00359,TKT-00243,1,FLT-00078,Y,QOWECO,confirmed
SEG-00360,TKT-00244,1,FLT-00078,Y,QOWECO,confirmed
SEG-00361,TKT-00245,1,FLT-00743,C,CNRBIZ,flown
SEG-00362,TKT-00246,1,FLT-00729,F,FFLFST,flown
SEG-00363,TKT-00247,1,FLT-00442,Y,YFLECO,confirmed
SEG-00364,TKT-00247,2,FLT-00456,Y,YFLECO,confirmed
SEG-00365,TKT-00248,1,FLT-00442,Y,YFLECO,confirmed
SEG-00366,TKT-00248,2,FLT-00456,Y,YFLECO,confirmed
SEG-00367,TKT-00249,1,FLT-00442,Y,YFLECO,confirmed
SEG-00368,TKT-00249,2,FLT-00456,Y,YFLECO,confirmed
SEG-00369,TKT-00250,1,FLT-00043,C,CNRBIZ,flown
SEG-00370,TKT-00250,2,FLT-00064,C,CNRBIZ,confirmed
SEG-00371,TKT-00251,1,FLT-00043,C,CNRBIZ,flown
SEG-00372,TKT-00251,2,FLT-00064,C,CNRBIZ,confirmed
SEG-00373,TKT-00252,1,FLT-00356,W,WFLPEY,flown
SEG-00374,TKT-00252,2,FLT-00383,W,WFLPEY,flown
SEG-00375,TKT-00253,1,FLT-00705,F,FFLFST,flown
SEG-00376,TKT-00254,1,FLT-00705,F,FFLFST,flown
SEG-00377,TKT-00255,1,FLT-00746,Y,YFLECO,flown
SEG-00378,TKT-00255,2,FLT-00725,Y,YFLECO,confirmed
SEG-00379,TKT-00256,1,FLT-00060,F,FFLFST,flown
SEG-00380,TKT-00256,2,FLT-00048,F,FFLFST,confirmed
SEG-00381,TKT-00257,1,FLT-00055,C,CNRBIZ,flown
SEG-00382,TKT-00258,1,FLT-00132,Y,YFLECO,confirmed
SEG-00383,TKT-00259,1,FLT-00068,W,WFLPEY,flown
SEG-00384,TKT-00259,2,FLT-00093,W,WFLPEY,flown
SEG-00385,TKT-00260,1,FLT-00113,Y,YFLECO,flown
SEG-00386,TKT-00260,2,FLT-00126,Y,YFLECO,flown
