booking_passenger_id,booking_id,passenger_id,passenger_type,seq_in_booking
BKP-00144,BKG-00090,PSG-00016,adult,1
BKP-00145,BKG-00091,PSG-00130,adult,1
BKP-00146,BKG-00092,PSG-00091,adult,1
BKP-00147,BKG-00093,PSG-00115,adult,1
BKP-00148,BKG-00094,PSG-00142,adult,1
BKP-00149,BKG-00094,PSG-00095,adult,2
BKP-00150,BKG-00094,PSG-00081,child,3
BKP-00151,BKG-00095,PSG-00007,child,1
BKP-00152,BKG-00096,PSG-00047,adult,1
BKP-00153,BKG-00097,PSG-00149,adult,1
BKP-00154,BKG-00098,PSG-00106,adult,1
BKP-00155,BKG-00098,PSG-00062,adult,2
BKP-00156,BKG-00098,PSG-00098,adult,3
BKP-00157,BKG-00099,PSG-00028,adult,1
BKP-00158,BKG-00099,PSG-00034,adult,2
BKP-00159,BKG-00100,PSG-00073,adult,1
BKP-00160,BKG-00100,PSG-00141,adult,2
BKP-00161,BKG-00101,PSG-00012,child,1
BKP-00162,BKG-00101,PSG-00148,adult,2
BKP-00163,BKG-00101,PSG-00082,adult,3
BKP-00164,BKG-00102,PSG-00132,adult,1
BKP-00165,BKG-00102,PSG-00069,adult,2
BKP-00166,BKG-00102,PSG-00007,adult,3
BKP-00167,BKG-00103,PSG-00143,adult,1
BKP-00168,BKG-00104,PSG-00148,child,1
BKP-00169,BKG-00105,PSG-00071,adult,1
BKP-00170,BKG-00105,PSG-00091,adult,2
BKP-00171,BKG-00106,PSG-00141,adult,1
BKP-00172,BKG-00106,PSG-00023,adult,2
BKP-00173,BKG-00106,PSG-00099,adult,3
BKP-00174,BKG-00107,PSG-00027,adult,1
BKP-00175,BKG-00107,PSG-00103,adult,2
BKP-00176,BKG-00108,PSG-00041,adult,1
BKP-00177,BKG-00109,PSG-00087,adult,1
BKP-00178,BKG-00110,PSG-00028,adult,1
BKP-00179,BKG-00110,PSG-00131,adult,2
BKP-00180,BKG-00111,PSG-00129,adult,1
BKP-00181,BKG-00112,PSG-00078,adult,1
BKP-00182,BKG-00113,PSG-00013,adult,1
BKP-00183,BKG-00114,PSG-00039,adult,1
BKP-00184,BKG-00115,PSG-00078,adult,1
BKP-00185,BKG-00116,PSG-00015,adult,1
BKP-00186,BKG-00117,PSG-00122,adult,1
BKP-00187,BKG-00117,PSG-00037,adult,2
BKP-00188,BKG-00118,PSG-00020,adult,1
BKP-00189,BKG-00119,PSG-00060,adult,1
BKP-00190,BKG-00119,PSG-00049,adult,2
BKP-00191,BKG-00119,PSG-00036,adult,3
BKP-00192,BKG-00120,PSG-00100,adult,1
BKP-00193,BKG-00121,PSG-00074,adult,1
BKP-00194,BKG-00121,PSG-00007,adult,2
BKP-00195,BKG-00121,PSG-00118,adult,3
BKP-00196,BKG-00122,PSG-00112,adult,1
BKP-00197,BKG-00122,PSG-00061,child,2
BKP-00198,BKG-00123,PSG-00011,adult,1
BKP-00199,BKG-00124,PSG-00118,adult,1
BKP-00200,BKG-00125,PSG-00092,adult,1
BKP-00201,BKG-00125,PSG-00027,adult,2
BKP-00202,BKG-00125,PSG-00030,adult,3
BKP-00203,BKG-00126,PSG-00003,adult,1
BKP-00204,BKG-00127,PSG-00041,adult,1
BKP-00205,BKG-00127,PSG-00020,adult,2
BKP-00206,BKG-00128,PSG-00016,adult,1
BKP-00207,BKG-00129,PSG-00140,adult,1
BKP-00208,BKG-00129,PSG-00125,adult,2
BKP-00209,BKG-00130,PSG-00008,adult,1
BKP-00210,BKG-00131,PSG-00079,adult,1
BKP-00211,BKG-00131,PSG-00003,adult,2
BKP-00212,BKG-00131,PSG-00076,adult,3
BKP-00213,BKG-00132,PSG-00145,adult,1
BKP-00214,BKG-00132,PSG-00026,adult,2
BKP-00215,BKG-00133,PSG-00035,adult,1
BKP-00216,BKG-00134,PSG-00084,adult,1
BKP-00217,BKG-00135,PSG-00085,adult,1
BKP-00218,BKG-00135,PSG-00083,adult,2
BKP-00219,BKG-00136,PSG-00100,adult,1
BKP-00220,BKG-00137,PSG-00099,adult,1
BKP-00221,BKG-00138,PSG-00045,adult,1
BKP-00222,BKG-00138,PSG-00062,child,2
BKP-00223,BKG-00138,PSG-00047,adult,3
BKP-00224,BKG-00139,PSG-00004,adult,1
BKP-00225,BKG-00140,PSG-00094,adult,1
BKP-00226,BKG-00140,PSG-00012,adult,2
BKP-00227,BKG-00141,PSG-00075,adult,1
BKP-00228,BKG-00142,PSG-00117,adult,1
BKP-00229,BKG-00142,PSG-00037,adult,2
BKP-00230,BKG-00143,PSG-00125,adult,1
BKP-00231,BKG-00143,PSG-00081,adult,2
BKP-00232,BKG-00143,PSG-00142,adult,3
BKP-00233,BKG-00144,PSG-00022,adult,1
BKP-00234,BKG-00145,PSG-00138,adult,1
BKP-00235,BKG-00145,PSG-00094,adult,2
BKP-00236,BKG-00146,PSG-00004,adult,1
BKP-00237,BKG-00147,PSG-00149,adult,1
BKP-00238,BKG-00148,PSG-00063,adult,1
BKP-00239,BKG-00149,PSG-00145,adult,1
BKP-00240,BKG-00149,PSG-00106,adult,2
BKP-00241,BKG-00150,PSG-00042,adult,1
BKP-00242,BKG-00151,PSG-00042,adult,1
BKP-00243,BKG-00152,PSG-00024,adult,1
BKP-00244,BKG-00152,PSG-00109,adult,2
BKP-00245,BKG-00153,PSG-00023,adult,1
BKP-00246,BKG-00154,PSG-00049,adult,1
BKP-00247,BKG-00155,PSG-00113,adult,1
BKP-00248,BKG-00155,PSG-00084,adult,2
BKP-00249,BKG-00155,PSG-00089,adult,3
BKP-00250,BKG-00156,PSG-00059,adult,1
BKP-00251,BKG-00156,PSG-00144,adult,2
BKP-00252,BKG-00157,PSG-00013,adult,1
BKP-00253,BKG-00158,PSG-00033,adult,1
BKP-00254,BKG-00158,PSG-00011,adult,2
BKP-00255,BKG-00159,PSG-00018,adult,1
BKP-00256,BKG-00160,PSG-00015,adult,1
BKP-00257,BKG-00161,PSG-00081,adult,1
BKP-00258,BKG-00162,PSG-00096,child,1
BKP-00259,BKG-00163,PSG-00031,adult,1
BKP-00260,BKG-00164,PSG-00105,adult,1
BKP-00261,BKG-00164,PSG-00034,adult,2
BKP-00262,BKG-00165,PSG-00011,adult,1
BKP-00263,BKG-00166,PSG-00148,adult,1
BKP-00264,BKG-00166,PSG-00098,adult,2
BKP-00265,BKG-00167,PSG-00142,child,1
BKP-00266,BKG-00167,PSG-00025,adult,2
BKP-00267,BKG-00167,PSG-00065,adult,3
BKP-00268,BKG-00168,PSG-00011,infant,1
BKP-00269,BKG-00169,PSG-00001,adult,1
BKP-00270,BKG-00169,PSG-00012,infant,2
BKP-00271,BKG-00170,PSG-00138,adult,1
BKP-00272,BKG-00171,PSG-00132,adult,1
BKP-00273,BKG-00171,PSG-00084,adult,2
BKP-00274,BKG-00172,PSG-00010,adult,1
BKP-00275,BKG-00172,PSG-00033,adult,2
BKP-00276,BKG-00173,PSG-00037,adult,1
BKP-00277,BKG-00173,PSG-00145,adult,2
BKP-00278,BKG-00174,PSG-00027,adult,1
BKP-00279,BKG-00174,PSG-00041,adult,2
BKP-00280,BKG-00175,PSG-00053,adult,1
BKP-00281,BKG-00175,PSG-00086,child,2
BKP-00282,BKG-00176,PSG-00130,adult,1
BKP-00283,BKG-00177,PSG-00148,child,1
BKP-00284,BKG-00177,PSG-00055,adult,2
BKP-00285,BKG-00177,PSG-00023,adult,3
BKP-00286,BKG-00178,PSG-00103,adult,1
BKP-00287,BKG-00179,PSG-00121,adult,1
BKP-00288,BKG-00179,PSG-00007,adult,2
BKP-00289,BKG-00180,PSG-00001,adult,1
BKP-00290,BKG-00180,PSG-00053,adult,2
