booking_id,booking_reference,airline_code,route_id,return_route_id,trip_type,booking_channel,booking_date_utc,point_of_sale_country,currency,status,corporate_account_id,travel_agent_id,discount_code,outbound_flight_instance_id,return_flight_instance_id
BKG-00020,QFMAQW,PC,RTE-00025,,one_way,corporate_portal,2025-11-28T09:00:00Z,CN,CNY,confirmed,CORP-005,,CORP-CORP-005,FLT-00441,
BKG-00021,7J386F,SX,RTE-00043,,one_way,call_center,2025-11-26T09:00:00Z,BR,BRL,confirmed,CORP-001,,CORP-CORP-001,FLT-00763,
BKG-00022,NNJ7KY,ZM,RTE-00016,,one_way,corporate_portal,2025-11-10T09:00:00Z,AU,AUD,confirmed,CORP-005,,CORP-CORP-005,FLT-00276,
BKG-00023,5RZ5ZH,ZM,RTE-00009,,one_way,mobile_app,2026-01-11T09:00:00Z,JP,JPY,confirmed,,,,FLT-00159,
BKG-00024,LVG4E2,SL,RTE-00021,,one_way,mobile_app,2025-12-31T09:00:00Z,BR,BRL,confirmed,,TA-007,,FLT-00369,
BKG-00025,3YX2UK,PC,RTE-00030,RTE-00029,round_trip,mobile_app,2025-12-01T09:00:00Z,US,USD,confirmed,,,,FLT-00522,FLT-00506
BKG-00026,J4EY94,DF,RTE-00040,RTE-00039,round_trip,call_center,2026-01-14T09:00:00Z,ES,EUR,confirmed,,,,FLT-00713,FLT-00700
BKG-00027,Z7VXPM,DF,RTE-00034,RTE-00033,round_trip,call_center,2025-12-13T09:00:00Z,ZA,ZAR,confirmed,CORP-003,,CORP-CORP-003,FLT-00600,FLT-00580
BKG-00028,HBCV46,SL,RTE-00021,RTE-00022,round_trip,corporate_portal,2025-12-05T09:00:00Z,NL,EUR,confirmed,CORP-005,,CORP-CORP-005,FLT-00355,FLT-00381
BKG-00029,YETUJP,PC,RTE-00027,,one_way,mobile_app,2025-12-26T09:00:00Z,AU,AUD,confirmed,CORP-005,,CORP-CORP-005,FLT-00463,
BKG-00030,FJASX8,PC,RTE-00028,RTE-00027,round_trip,corporate_portal,2025-12-29T09:00:00Z,DE,EUR,confirmed,CORP-002,,CORP-CORP-002,FLT-00494,FLT-00480
BKG-00031,WMRRDR,ZM,RTE-00014,,one_way,call_center,2025-12-02T09:00:00Z,GB,GBP,confirmed,,,,FLT-00233,
BKG-00032,DQ8PTA,DF,RTE-00040,,one_way,travel_agent,2025-12-09T09:00:00Z,AU,AUD,confirmed,,TA-001,,FLT-00706,
BKG-00033,UUPM8T,ZM,RTE-00009,RTE-00010,round_trip,corporate_portal,2025-12-21T09:00:00Z,AU,AUD,confirmed,CORP-002,,CORP-CORP-002,FLT-00158,FLT-00173
BKG-00034,BX6LNC,NB,RTE-00004,RTE-00003,round_trip,call_center,2025-12-13T09:00:00Z,ES,EUR,confirmed,,TA-006,,FLT-00056,FLT-00032
BKG-00035,S3MJ3V,SL,RTE-00022,,one_way,call_center,2026-01-03T09:00:00Z,US,USD,confirmed,CORP-003,,CORP-CORP-003,FLT-00384,
BKG-00036,964HHE,NB,RTE-00008,,one_way,mobile_app,2025-11-29T09:00:00Z,ES,EUR,confirmed,,,,FLT-00126,
BKG-00037,RAKFWX,DF,RTE-00037,,one_way,travel_agent,2026-01-01T09:00:00Z,TR,TRY,confirmed,,TA-008,,FLT-00656,
BKG-00038,8D2ECG,ZM,RTE-00014,,one_way,call_center,2025-11-20T09:00:00Z,DE,EUR,confirmed,,,,FLT-00231,
BKG-00039,PHHCRZ,ZM,RTE-00009,RTE-00010,round_trip,travel_agent,2025-11-11T09:00:00Z,SG,SGD,confirmed,CORP-004,,CORP-CORP-004,FLT-00141,FLT-00171
BKG-00040,6LYA7J,DF,RTE-00035,,one_way,corporate_portal,2025-11-21T09:00:00Z,ES,EUR,confirmed,CORP-003,,CORP-CORP-003,FLT-00613,
BKG-00041,MQE9L3,PC,RTE-00027,RTE-00028,round_trip,corporate_portal,2026-01-17T09:00:00Z,JP,JPY,confirmed,CORP-005,,CORP-CORP-005,FLT-00484,FLT-00498
BKG-00042,4TV72L,PC,RTE-00029,,one_way,call_center,2025-11-08T09:00:00Z,FR,EUR,confirmed,,,,FLT-00502,
BKG-00043,KXC6F5,ZM,RTE-00014,,one_way,corporate_portal,2025-12-07T09:00:00Z,AU,AUD,cancelled,CORP-005,,CORP-CORP-005,FLT-00230,
BKG-00044,22T4VN,SL,RTE-00018,RTE-00017,round_trip,travel_agent,2025-11-28T09:00:00Z,FR,EUR,confirmed,,TA-002,,FLT-00298,FLT-00288
BKG-00045,H6A3A7,DF,RTE-00035,RTE-00036,round_trip,direct_website,2025-12-30T09:00:00Z,AE,AED,confirmed,,,SUMMER25,FLT-00610,FLT-00640
BKG-00046,Y9RZQQ,DF,RTE-00039,RTE-00040,round_trip,travel_agent,2025-12-11T09:00:00Z,BR,BRL,confirmed,,TA-004,,FLT-00700,FLT-00714
BKG-00047,GC8X59,SL,RTE-00022,,one_way,travel_agent,2025-11-19T09:00:00Z,ZA,ZAR,confirmed,,TA-001,,FLT-00379,
BKG-00048,XGPWKS,PC,RTE-00027,RTE-00028,round_trip,travel_agent,2025-12-26T09:00:00Z,GB,GBP,confirmed,,TA-005,,FLT-00480,FLT-00497
BKG-00049,EK6UZB,DF,RTE-00034,RTE-00033,round_trip,call_center,2025-11-25T09:00:00Z,ES,EUR,confirmed,,TA-002,,FLT-00596,FLT-00578
BKG-00050,VPMTEU,ZM,RTE-00012,,one_way,corporate_portal,2025-12-16T09:00:00Z,AU,AUD,confirmed,CORP-005,,CORP-CORP-005,FLT-00190,
BKG-00051,CS4RUD,ZM,RTE-00011,,one_way,direct_website,2025-12-09T09:00:00Z,CN,CNY,confirmed,,,,FLT-00184,
BKG-00052,TWKP9W,PC,RTE-00031,,one_way,call_center,2025-12-08T09:00:00Z,FR,EUR,confirmed,,TA-002,,FLT-00544,
BKG-00053,AZ2NPF,PC,RTE-00029,,one_way,direct_website,2025-11-08T09:00:00Z,AU,AUD,confirmed,CORP-001,,CORP-CORP-001,FLT-00504,
BKG-00054,R5HL4Y,SX,RTE-00045,,one_way,mobile_app,2025-12-02T09:00:00Z,AU,AUD,confirmed,,TA-002,,FLT-00809,
BKG-00055,88YKJH,PC,RTE-00026,,one_way,travel_agent,2025-11-10T09:00:00Z,DE,EUR,confirmed,,TA-005,,FLT-00446,
BKG-00056,QCFHX2,PC,RTE-00026,,one_way,call_center,2025-12-11T09:00:00Z,TR,TRY,confirmed,CORP-003,,CORP-CORP-003,FLT-00447,
BKG-00057,7FWGDK,NB,RTE-00008,,one_way,call_center,2026-01-18T09:00:00Z,BR,BRL,confirmed,,,,FLT-00133,
BKG-00058,NKDES4,ZM,RTE-00015,,one_way,call_center,2026-01-04T09:00:00Z,AU,AUD,confirmed,,,,FLT-00270,
BKG-00059,5NUC8M,SL,RTE-00023,,one_way,travel_agent,2025-12-10T09:00:00Z,ZA,ZAR,confirmed,,TA-002,,FLT-00397,
BKG-00060,LSBBM6,DF,RTE-00035,,one_way,corporate_portal,2025-11-01T09:00:00Z,GB,GBP,confirmed,CORP-003,,CORP-CORP-003,FLT-00608,
BKG-00061,3VR93P,NB,RTE-00006,RTE-00005,round_trip,travel_agent,2025-12-12T09:00:00Z,FR,EUR,confirmed,,TA-004,,FLT-00089,FLT-00078
BKG-00062,JY88G8,ZM,RTE-00010,RTE-00009,round_trip,mobile_app,2025-12-06T09:00:00Z,IT,EUR,confirmed,,TA-006,,FLT-00169,FLT-00151
BKG-00063,Z4P6WR,DF,RTE-00039,,one_way,direct_website,2025-11-23T09:00:00Z,DE,EUR,confirmed,,TA-003,,FLT-00682,
BKG-00064,G765CA,DF,RTE-00037,RTE-00038,round_trip,direct_website,2025-12-30T09:00:00Z,CA,CAD,confirmed,,,,FLT-00657,FLT-00670
BKG-00065,YBM3RT,SL,RTE-00017,,one_way,direct_website,2025-12-08T09:00:00Z,US,USD,confirmed,,,,FLT-00295,
BKG-00066,FE4Z7C,PC,RTE-00030,,one_way,direct_website,2025-11-24T09:00:00Z,ZA,ZAR,confirmed,,,,FLT-00526,
BKG-00067,WJKYLV,PC,RTE-00030,,one_way,travel_agent,2025-11-23T09:00:00Z,ES,EUR,confirmed,,TA-005,,FLT-00536,
BKG-00068,DM2W2E,SL,RTE-00023,RTE-00024,round_trip,corporate_portal,2025-12-02T09:00:00Z,DE,EUR,confirmed,CORP-003,,CORP-CORP-003,FLT-00397,FLT-00426
BKG-00069,URHVFX,PC,RTE-00031,,one_way,direct_website,2026-01-14T09:00:00Z,ZA,ZAR,confirmed,,,,FLT-00551,
BKG-00070,BUYTVG,NB,RTE-00004,,one_way,mobile_app,2025-12-19T09:00:00Z,ZA,ZAR,confirmed,,,,FLT-00066,
BKG-00071,SYFSAZ,DF,RTE-00037,,one_way,travel_agent,2025-12-29T09:00:00Z,AU,AUD,confirmed,,TA-008,,FLT-00658,
BKG-00072,93WQQJ,DF,RTE-00037,,one_way,call_center,2025-12-25T09:00:00Z,CA,CAD,confirmed,CORP-004,,CORP-CORP-004,FLT-00657,
BKG-00073,Q7DN53,SX,RTE-00046,RTE-00045,round_trip,corporate_portal,2026-01-04T09:00:00Z,AU,AUD,confirmed,CORP-001,,CORP-CORP-001,FLT-00821,FLT-00809
BKG-00074,8AUMKL,SL,RTE-00017,,one_way,call_center,2025-10-28T09:00:00Z,CA,CAD,cancelled,,,,FLT-00283,
BKG-00075,PEBKY5,SX,RTE-00045,RTE-00046,round_trip,travel_agent,2025-11-17T09:00:00Z,CN,CNY,confirmed,,TA-001,,FLT-00803,FLT-00820
BKG-00076,6HSJEN,SL,RTE-00021,RTE-00022,round_trip,travel_agent,2025-12-03T09:00:00Z,SG,SGD,confirmed,,TA-002,,FLT-00352,FLT-00382
BKG-00077,ML9GT7,ZM,RTE-00014,RTE-00013,round_trip,mobile_app,2025-11-23T09:00:00Z,JP,JPY,confirmed,CORP-003,,CORP-CORP-003,FLT-00229,FLT-00222
BKG-00078,4QQE9Q,DF,RTE-00039,,one_way,mobile_app,2025-11-16T09:00:00Z,TR,TRY,confirmed,,TA-002,,FLT-00679,
BKG-00079,KT7DN9,SX,RTE-00041,RTE-00042,round_trip,corporate_portal,2026-01-06T09:00:00Z,FR,EUR,confirmed,CORP-001,,CORP-CORP-001,FLT-00723,FLT-00751
BKG-00080,2XNB4S,ZM,RTE-00013,,one_way,mobile_app,2026-01-04T09:00:00Z,CA,CAD,confirmed,,,,FLT-00228,
BKG-00081,H25AJB,NB,RTE-00006,RTE-00005,round_trip,mobile_app,2025-11-12T09:00:00Z,FR,EUR,confirmed,CORP-004,,CORP-CORP-004,FLT-00081,FLT-00071
BKG-00082,Y6K8XU,DF,RTE-00034,,one_way,direct_website,2025-12-08T09:00:00Z,CA,CAD,confirmed,,,,FLT-00599,
BKG-00083,F927DD,SX,RTE-00041,RTE-00042,round_trip,corporate_portal,2025-12-16T09:00:00Z,CA,CAD,confirmed,CORP-001,,CORP-CORP-001,FLT-00725,FLT-00754
BKG-00084,XDH5SW,NB,RTE-00005,RTE-00006,round_trip,mobile_app,2025-12-24T09:00:00Z,ZA,ZAR,confirmed,,,,FLT-00071,FLT-00096
BKG-00085,EGY38F,DF,RTE-00038,RTE-00037,round_trip,travel_agent,2025-11-21T09:00:00Z,ES,EUR,confirmed,,TA-007,,FLT-00662,FLT-00660
BKG-00086,VLF2MY,SL,RTE-00023,RTE-00024,round_trip,mobile_app,2025-12-28T09:00:00Z,AU,AUD,confirmed,,,SUMMER25,FLT-00402,FLT-00432
BKG-00087,CPWY3H,SL,RTE-00018,RTE-00017,round_trip,travel_agent,2025-11-20T09:00:00Z,IT,EUR,confirmed,,TA-007,,FLT-00310,FLT-00293
BKG-00088,TTDXG2,SL,RTE-00023,,one_way,travel_agent,2025-12-11T09:00:00Z,JP,JPY,confirmed,,TA-006,,FLT-00402,
BKG-00089,AWUVWK,ZM,RTE-00012,RTE-00011,round_trip,corporate_portal,2025-12-02T09:00:00Z,GB,GBP,confirmed,CORP-001,,CORP-CORP-001,FLT-00203,FLT-00184
BKG-00090,R2BUB4,DF,RTE-00039,,one_way,direct_website,2025-12-09T09:00:00Z,GB,GBP,confirmed,,,,FLT-00698,
BKG-00091,85SSRM,PC,RTE-00031,RTE-00032,round_trip,mobile_app,2025-12-02T09:00:00Z,GB,GBP,confirmed,,,,FLT-00546,FLT-00565
BKG-00092,P89Q66,NB,RTE-00001,,one_way,travel_agent,2025-11-05T09:00:00Z,CN,CNY,confirmed,,TA-008,,FLT-00002,
BKG-00093,7CQPLP,DF,RTE-00039,,one_way,call_center,2025-12-18T09:00:00Z,JP,JPY,confirmed,,,,FLT-00695,
BKG-00094,NF7MZ8,SX,RTE-00042,,one_way,corporate_portal,2026-01-05T09:00:00Z,AU,AUD,confirmed,CORP-001,,CORP-CORP-001,FLT-00740,
BKG-00095,5KNLFR,NB,RTE-00003,RTE-00004,round_trip,direct_website,2025-12-03T09:00:00Z,ZA,ZAR,cancelled,,,,FLT-00044,FLT-00063
BKG-00096,LN5JVA,NB,RTE-00004,,one_way,direct_website,2025-11-18T09:00:00Z,AU,AUD,confirmed,,,LOYALTY5,FLT-00059,
BKG-00097,3SLHAT,PC,RTE-00026,RTE-00025,round_trip,corporate_portal,2025-12-27T09:00:00Z,AU,AUD,confirmed,CORP-004,,CORP-CORP-004,FLT-00456,FLT-00444
BKG-00098,JV3FQC,NB,RTE-00005,,one_way,corporate_portal,2025-11-22T09:00:00Z,IT,EUR,confirmed,CORP-005,,CORP-CORP-005,FLT-00076,
BKG-00099,ZZJD5V,ZM,RTE-00015,RTE-00016,round_trip,corporate_portal,2025-12-06T09:00:00Z,NL,EUR,confirmed,CORP-001,,CORP-CORP-001,FLT-00250,FLT-00278
BKG-00100,G4ZCKE,PC,RTE-00032,,one_way,travel_agent,2025-11-14T09:00:00Z,DE,EUR,confirmed,,TA-006,,FLT-00558,
BKG-00101,X8GAYX,SX,RTE-00044,RTE-00043,round_trip,call_center,2025-12-07T09:00:00Z,JP,JPY,confirmed,,TA-002,,FLT-00774,FLT-00765
BKG-00102,FBW9EG,DF,RTE-00035,,one_way,travel_agent,2025-12-01T09:00:00Z,CN,CNY,confirmed,,TA-003,,FLT-00607,
BKG-00103,WFD7TZ,PC,RTE-00025,RTE-00026,round_trip,direct_website,2025-11-11T09:00:00Z,US,USD,confirmed,,,LOYALTY5,FLT-00434,FLT-00450
BKG-00104,DJU59J,NB,RTE-00007,RTE-00008,round_trip,travel_agent,2025-12-09T09:00:00Z,IT,EUR,confirmed,CORP-004,,CORP-CORP-004,FLT-00111,FLT-00130
BKG-00105,UNB4N3,SX,RTE-00043,RTE-00044,round_trip,call_center,2025-12-09T09:00:00Z,AU,AUD,confirmed,,,,FLT-00767,FLT-00781
BKG-00106,BRS24L,NB,RTE-00006,,one_way,call_center,2025-11-19T09:00:00Z,ZA,ZAR,confirmed,,,,FLT-00084,
BKG-00107,SU9ZH5,ZM,RTE-00012,,one_way,corporate_portal,2025-12-16T09:00:00Z,NL,EUR,confirmed,CORP-001,,CORP-CORP-001,FLT-00207,
BKG-00108,9YQXXN,DF,RTE-00037,RTE-00038,round_trip,mobile_app,2026-01-11T09:00:00Z,ZA,ZAR,confirmed,,,,FLT-00656,FLT-00673
BKG-00109,Q37WC7,SX,RTE-00046,RTE-00045,round_trip,call_center,2025-12-04T09:00:00Z,FR,EUR,confirmed,,,,FLT-00817,FLT-00803
BKG-00110,77NUSQ,SX,RTE-00046,RTE-00045,round_trip,mobile_app,2025-11-06T09:00:00Z,US,USD,confirmed,,,,FLT-00813,FLT-00790
BKG-00111,PA5S79,SL,RTE-00019,,one_way,travel_agent,2025-12-27T09:00:00Z,CA,CAD,confirmed,,TA-006,,FLT-00329,
BKG-00112,6ELRMS,NB,RTE-00006,RTE-00005,round_trip,mobile_app,2025-12-20T09:00:00Z,JP,JPY,confirmed,,,,FLT-00107,FLT-00079
BKG-00113,MH3P3B,SL,RTE-00019,RTE-00020,round_trip,mobile_app,2025-11-17T09:00:00Z,GB,GBP,cancelled,,,,FLT-00326,FLT-00344
BKG-00114,4MJNGU,NB,RTE-00001,,one_way,corporate_portal,2025-12-02T09:00:00Z,BR,BRL,confirmed,CORP-004,,CORP-CORP-004,FLT-00003,
BKG-00115,KQZLWD,SL,RTE-00017,,one_way,mobile_app,2026-01-19T09:00:00Z,IT,EUR,confirmed,,,,FLT-00294,
BKG-00116,2UGKBW,DF,RTE-00034,RTE-00033,round_trip,call_center,2025-12-12T09:00:00Z,IT,EUR,confirmed,CORP-003,,CORP-CORP-003,FLT-00595,FLT-00582
BKG-00117,HXXHRF,SL,RTE-00023,RTE-00024,round_trip,corporate_portal,2025-11-23T09:00:00Z,GB,GBP,confirmed,CORP-004,,CORP-CORP-004,FLT-00396,FLT-00423
BKG-00118,Y3EF6Y,ZM,RTE-00015,RTE-00016,round_trip,corporate_portal,2025-12-09T09:00:00Z,CN,CNY,confirmed,CORP-003,,CORP-CORP-003,FLT-00263,FLT-00282
BKG-00119,F6VELH,SL,RTE-00017,RTE-00018,round_trip,mobile_app,2025-12-15T09:00:00Z,NL,EUR,confirmed,,,,FLT-00288,FLT-00313
BKG-00120,XACCZ2,ZM,RTE-00009,,one_way,mobile_app,2025-11-19T09:00:00Z,DE,EUR,confirmed,,,SUMMER25,FLT-00157,
BKG-00121,EDTBFK,SX,RTE-00043,RTE-00044,round_trip,mobile_app,2025-12-10T09:00:00Z,DE,EUR,confirmed,,TA-003,,FLT-00757,FLT-00781
BKG-00122,VG99U4,DF,RTE-00034,,one_way,call_center,2025-12-20T09:00:00Z,SG,SGD,confirmed,,,,FLT-00598,
BKG-00123,CLQ8AM,DF,RTE-00034,,one_way,mobile_app,2025-11-17T09:00:00Z,JP,JPY,confirmed,,,,FLT-00598,
BKG-00124,TP76P6,SX,RTE-00046,RTE-00045,round_trip,travel_agent,2025-11-04T09:00:00Z,CN,CNY,confirmed,,TA-006,,FLT-00811,FLT-00791
BKG-00125,ATN45P,SL,RTE-00018,RTE-00017,round_trip,direct_website,2025-12-27T09:00:00Z,CA,CAD,confirmed,,,,FLT-00306,FLT-00292
BKG-00126,RW53J8,PC,RTE-00028,RTE-00027,round_trip,travel_agent,2025-12-22T09:00:00Z,TR,TRY,confirmed,,TA-005,,FLT-00489,FLT-00477
BKG-00127,82LZYR,PC,RTE-00030,,one_way,direct_website,2025-11-25T09:00:00Z,DE,EUR,confirmed,CORP-005,,CORP-CORP-005,FLT-00540,
BKG-00128,P53YEA,SX,RTE-00046,RTE-00045,round_trip,direct_website,2025-12-20T09:00:00Z,SG,SGD,confirmed,,,,FLT-00821,FLT-00810
BKG-00129,69JWTT,PC,RTE-00025,RTE-00026,round_trip,call_center,2025-12-06T09:00:00Z,DE,EUR,confirmed,,,,FLT-00437,FLT-00452
BKG-00130,NCZU9C,DF,RTE-00039,,one_way,call_center,2025-12-20T09:00:00Z,BR,BRL,confirmed,,,,FLT-00676,
BKG-00131,5GGTNV,PC,RTE-00026,,one_way,corporate_portal,2025-12-20T09:00:00Z,ES,EUR,confirmed,CORP-001,,CORP-CORP-001,FLT-00457,
BKG-00132,LKXR4E,SX,RTE-00048,RTE-00047,round_trip,travel_agent,2025-12-24T09:00:00Z,ES,EUR,confirmed,,TA-003,,FLT-00851,FLT-00830
BKG-00133,3PEQHX,SL,RTE-00022,RTE-00021,round_trip,direct_website,2025-11-12T09:00:00Z,TR,TRY,confirmed,,TA-004,,FLT-00383,FLT-00371
BKG-00134,JSVNXG,SX,RTE-00042,RTE-00041,round_trip,corporate_portal,2025-12-20T09:00:00Z,IT,EUR,confirmed,CORP-001,,CORP-CORP-001,FLT-00752,FLT-00727
BKG-00135,ZWCMCZ,SX,RTE-00047,RTE-00048,round_trip,travel_agent,2025-12-27T09:00:00Z,BR,BRL,confirmed,,TA-007,,FLT-00834,FLT-00864
BKG-00136,GZTKSJ,NB,RTE-00004,RTE-00003,round_trip,mobile_app,2025-12-15T09:00:00Z,AE,AED,confirmed,CORP-004,,CORP-CORP-004,FLT-00060,FLT-00046
BKG-00137,X5AH73,PC,RTE-00029,,one_way,mobile_app,2025-11-19T09:00:00Z,US,USD,confirmed,,,,FLT-00503,
BKG-00138,E8RGML,ZM,RTE-00009,RTE-00010,round_trip,corporate_portal,2025-11-03T09:00:00Z,SG,SGD,confirmed,CORP-002,,CORP-CORP-002,FLT-00140,FLT-00171
BKG-00139,WB8E25,DF,RTE-00037,RTE-00038,round_trip,direct_website,2025-12-25T09:00:00Z,CN,CNY,confirmed,,,,FLT-00660,FLT-00673
BKG-00140,DFPDGN,SX,RTE-00045,,one_way,mobile_app,2025-11-19T09:00:00Z,NL,EUR,confirmed,,,,FLT-00783,
BKG-00141,UJ6BV7,SX,RTE-00045,,one_way,call_center,2025-12-04T09:00:00Z,CA,CAD,confirmed,,,,FLT-00810,
BKG-00142,BNMABQ,NB,RTE-00008,,one_way,direct_website,2025-12-04T09:00:00Z,AU,AUD,confirmed,,,,FLT-00124,
BKG-00143,SR38Q9,SX,RTE-00045,RTE-00046,round_trip,call_center,2025-12-08T09:00:00Z,US,USD,confirmed,CORP-004,,CORP-CORP-004,FLT-00791,FLT-00817
BKG-00144,9VJ66S,PC,RTE-00031,RTE-00032,round_trip,travel_agent,2025-11-24T09:00:00Z,AU,AUD,confirmed,,TA-008,,FLT-00541,FLT-00558
BKG-00145,QYZ5LB,DF,RTE-00037,,one_way,mobile_app,2025-12-10T09:00:00Z,ES,EUR,confirmed,,,,FLT-00659,
BKG-00146,74G3ZU,ZM,RTE-00010,RTE-00009,round_trip,corporate_portal,2025-11-12T09:00:00Z,ZA,ZAR,confirmed,CORP-004,,CORP-CORP-004,FLT-00169,FLT-00151
BKG-00147,N7X2FD,PC,RTE-00029,RTE-00030,round_trip,call_center,2025-12-27T09:00:00Z,FR,EUR,confirmed,,,,FLT-00507,FLT-00539
BKG-00148,6BEYUW,SL,RTE-00019,,one_way,call_center,2025-11-12T09:00:00Z,CA,CAD,confirmed,,,LOYALTY5,FLT-00330,
BKG-00149,MEVXAF,SX,RTE-00046,,one_way,mobile_app,2025-12-14T09:00:00Z,CN,CNY,confirmed,CORP-004,,CORP-CORP-004,FLT-00818,
BKG-00150,4JCVPY,SX,RTE-00045,RTE-00046,round_trip,mobile_app,2025-11-05T09:00:00Z,NL,EUR,confirmed,,,,FLT-00789,FLT-00814
BKG-00151,KMTT5H,PC,RTE-00030,RTE-00029,round_trip,call_center,2025-12-24T09:00:00Z,DE,EUR,confirmed,,TA-002,,FLT-00535,FLT-00510
BKG-00152,2RASJ2,NB,RTE-00005,,one_way,call_center,2025-12-18T09:00:00Z,NL,EUR,confirmed,CORP-002,,CORP-CORP-002,FLT-00078,
BKG-00153,HURQYK,SX,RTE-00042,,one_way,call_center,2025-12-05T09:00:00Z,AU,AUD,confirmed,,TA-005,,FLT-00743,
BKG-00154,YX8PD4,SX,RTE-00042,,one_way,mobile_app,2025-12-12T09:00:00Z,DE,EUR,confirmed,,TA-001,,FLT-00729,
BKG-00155,F3PMTM,PC,RTE-00025,RTE-00026,round_trip,direct_website,2025-12-28T09:00:00Z,TR,TRY,confirmed,,,LOYALTY5,FLT-00442,FLT-00456
BKG-00156,W66K86,NB,RTE-00003,RTE-00004,round_trip,direct_website,2025-12-14T09:00:00Z,JP,JPY,confirmed,,,,FLT-00043,FLT-00064
BKG-00157,EAMJNP,SL,RTE-00021,RTE-00022,round_trip,corporate_portal,2025-12-25T09:00:00Z,AU,AUD,confirmed,CORP-003,,CORP-CORP-003,FLT-00356,FLT-00383
BKG-00158,VD4G38,DF,RTE-00040,,one_way,travel_agent,2025-11-24T09:00:00Z,TR,TRY,confirmed,,TA-008,,FLT-00705,
BKG-00159,CHKFHR,SX,RTE-00042,RTE-00041,round_trip,direct_website,2025-12-27T09:00:00Z,IT,EUR,confirmed,,,,FLT-00746,FLT-00725
BKG-00160,TL2DXA,NB,RTE-00004,RTE-00003,round_trip,travel_agent,2025-12-19T09:00:00Z,JP,JPY,confirmed,,TA-001,,FLT-00060,FLT-00048
BKG-00161,AQHCCT,NB,RTE-00004,,one_way,call_center,2025-12-21T09:00:00Z,IT,EUR,confirmed,,,,FLT-00055,
BKG-00162,RTYASC,NB,RTE-00008,,one_way,travel_agent,2025-12-08T09:00:00Z,CN,CNY,confirmed,,TA-006,,FLT-00132,
