invoice_line_id,invoice_id,ticket_id,line_type,reference_code,description,amount,currency
INL-00029,INV-00005,TKT-00006,ancillary,BAG20,Ancillary service: BAG20,60.81,CAD
INL-00030,INV-00005,TKT-00007,base_fare,PREMY,Base fare: Premium Economy,1341.07,CAD
INL-00031,INV-00005,TKT-00007,tax,GVT,Government Passenger Tax,93.88,CAD
INL-00032,INV-00005,TKT-00007,airport_fee,PSC,Passenger Service Charge,47.3,CAD
INL-00033,INV-00005,TKT-00007,airport_fee,SEC,Security Fee,16.22,CAD
INL-00036,INV-00006,TKT-00008,airport_fee,PSC,Passenger Service Charge,27.56,GBP
INL-00037,INV-00006,TKT-00008,airport_fee,SEC,Security Fee,9.45,GBP
INL-00038,INV-00006,TKT-00008,ancillary,WIFI,Ancillary service: WIFI,11.81,GBP
INL-00039,INV-00006,TKT-00009,base_fare,ECOFL,Base fare: Economy Flex,631.82,GBP
INL-00040,INV-00006,TKT-00009,tax,GVT,Government Passenger Tax,44.23,GBP
INL-00041,INV-00006,TKT-00009,airport_fee,PSC,Passenger Service Charge,27.56,GBP
INL-00042,INV-00006,TKT-00009,airport_fee,SEC,Security Fee,9.45,GBP
INL-00043,INV-00007,TKT-00010,base_fare,ECOFL,Base fare: Economy Flex,427.16,EUR
INL-00044,INV-00007,TKT-00010,tax,GVT,Government Passenger Tax,29.9,EUR
INL-00045,INV-00007,TKT-00010,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00046,INV-00007,TKT-00010,airport_fee,SEC,Security Fee,11.01,EUR
INL-00047,INV-00008,TKT-00011,base_fare,FIRST,Base fare: First,1940.79,USD
INL-00048,INV-00008,TKT-00011,tax,GVT,Government Passenger Tax,135.86,USD
INL-00049,INV-00008,TKT-00011,airport_fee,PSC,Passenger Service Charge,35.0,USD
INL-00050,INV-00008,TKT-00011,airport_fee,SEC,Security Fee,12.0,USD
INL-00051,INV-00008,,discount,CORP-CORP-002,Discount: Corporate rate: Northfield Industrial Holdings,-194.08,USD
INL-00052,INV-00009,TKT-00012,base_fare,ECOSV,Base fare: Economy Saver,759.82,CNY
INL-00053,INV-00009,TKT-00012,tax,GVT,Government Passenger Tax,53.19,CNY
INL-00054,INV-00009,TKT-00012,airport_fee,PSC,Passenger Service Charge,251.8,CNY
INL-00055,INV-00009,TKT-00012,airport_fee,SEC,Security Fee,86.33,CNY
INL-00057,INV-00009,TKT-00012,ancillary,WIFI,Ancillary service: WIFI,107.91,CNY
INL-00058,INV-00009,TKT-00013,base_fare,ECOSV,Base fare: Economy Saver,759.82,CNY
INL-00059,INV-00009,TKT-00013,tax,GVT,Government Passenger Tax,53.19,CNY
INL-00060,INV-00009,TKT-00013,airport_fee,PSC,Passenger Service Charge,251.8,CNY
INL-00061,INV-00009,TKT-00013,airport_fee,SEC,Security Fee,86.33,CNY
INL-00062,INV-00009,,discount,CORP-CORP-003,Discount: Corporate rate: Solenne Cosmetiques,-121.57,CNY
INL-00063,INV-00010,TKT-00014,base_fare,ECOSV,Base fare: Economy Saver,614.37,GBP
INL-00064,INV-00010,TKT-00014,tax,GVT,Government Passenger Tax,43.01,GBP
INL-00065,INV-00010,TKT-00014,airport_fee,PSC,Passenger Service Charge,27.56,GBP
INL-00066,INV-00010,TKT-00014,airport_fee,SEC,Security Fee,9.45,GBP
INL-00067,INV-00010,TKT-00015,base_fare,ECOSV,Base fare: Economy Saver,614.37,GBP
INL-00068,INV-00010,TKT-00015,tax,GVT,Government Passenger Tax,43.01,GBP
INL-00069,INV-00010,TKT-00015,airport_fee,PSC,Passenger Service Charge,27.56,GBP
INL-00070,INV-00010,TKT-00015,airport_fee,SEC,Security Fee,9.45,GBP
INL-00071,INV-00010,TKT-00015,ancillary,LOUNGE,Ancillary service: LOUNGE,43.31,GBP
INL-00072,INV-00010,TKT-00016,base_fare,ECOSV,Base fare: Economy Saver,614.37,GBP
INL-00073,INV-00010,TKT-00016,tax,GVT,Government Passenger Tax,43.01,GBP
INL-00074,INV-00010,TKT-00016,airport_fee,PSC,Passenger Service Charge,27.56,GBP
INL-00075,INV-00010,TKT-00016,airport_fee,SEC,Security Fee,9.45,GBP
INL-00076,INV-00010,,discount,CORP-CORP-005,Discount: Corporate rate: Falcon Logistics International,-184.31,GBP
INL-00077,INV-00011,TKT-00017,base_fare,ECOFL,Base fare: Economy Flex,929.98,SGD
INL-00078,INV-00011,TKT-00017,tax,GVT,Government Passenger Tax,65.1,SGD
INL-00079,INV-00011,TKT-00017,airport_fee,PSC,Passenger Service Charge,46.98,SGD
INL-00080,INV-00011,TKT-00017,airport_fee,SEC,Security Fee,16.11,SGD
INL-00081,INV-00011,,discount,LOYALTY5,Discount: Loyalty 5 Percent,-46.5,SGD
INL-00082,INV-00012,TKT-00018,base_fare,ECOSV,Base fare: Economy Saver,14449.17,ZAR
INL-00083,INV-00012,TKT-00018,tax,GVT,Government Passenger Tax,1011.44,ZAR
INL-00084,INV-00012,TKT-00018,airport_fee,PSC,Passenger Service Charge,648.15,ZAR
INL-00085,INV-00012,TKT-00018,airport_fee,SEC,Security Fee,222.22,ZAR
INL-00086,INV-00012,TKT-00019,base_fare,ECOSV,Base fare: Economy Saver,14449.17,ZAR
INL-00087,INV-00012,TKT-00019,tax,GVT,Government Passenger Tax,1011.44,ZAR
INL-00088,INV-00012,TKT-00019,airport_fee,PSC,Passenger Service Charge,648.15,ZAR
INL-00089,INV-00012,TKT-00019,airport_fee,SEC,Security Fee,222.22,ZAR
INL-00090,INV-00012,TKT-00019,ancillary,WIFI,Ancillary service: WIFI,277.78,ZAR
INL-00091,INV-00012,TKT-00019,ancillary,MEALSP,Ancillary service: MEALSP,370.37,ZAR
INL-00092,INV-00013,TKT-00020,base_fare,BIZFL,Base fare: Business Flex,1938.4,EUR
INL-00093,INV-00013,TKT-00020,tax,GVT,Government Passenger Tax,135.69,EUR
INL-00094,INV-00013,TKT-00020,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00095,INV-00013,TKT-00020,airport_fee,SEC,Security Fee,11.01,EUR
INL-00096,INV-00013,TKT-00020,ancillary,MEALSP,Ancillary service: MEALSP,18.35,EUR
INL-00097,INV-00013,,discount,CORP-CORP-005,Discount: Corporate rate: Falcon Logistics International,-193.84,EUR
INL-00098,INV-00014,TKT-00021,base_fare,BIZFL,Base fare: Business Flex,6798.82,AED
INL-00099,INV-00014,TKT-00021,tax,GVT,Government Passenger Tax,475.92,AED
INL-00100,INV-00014,TKT-00021,airport_fee,PSC,Passenger Service Charge,128.53,AED
INL-00101,INV-00014,TKT-00021,airport_fee,SEC,Security Fee,44.07,AED
INL-00102,INV-00014,TKT-00021,ancillary,SEATXL,Ancillary service: SEATXL,220.35,AED
INL-00103,INV-00015,TKT-00022,base_fare,ECOSV,Base fare: Economy Saver,542.32,USD
INL-00104,INV-00015,TKT-00022,tax,GVT,Government Passenger Tax,37.96,USD
INL-00105,INV-00015,TKT-00022,airport_fee,PSC,Passenger Service Charge,35.0,USD
INL-00106,INV-00015,TKT-00022,airport_fee,SEC,Security Fee,12.0,USD
INL-00107,INV-00015,,discount,CORP-CORP-002,Discount: Corporate rate: Northfield Industrial Holdings,-54.23,USD
INL-00108,INV-00016,TKT-00023,base_fare,BIZFL,Base fare: Business Flex,18009.21,CNY
INL-00109,INV-00016,TKT-00023,tax,GVT,Government Passenger Tax,1260.64,CNY
INL-00110,INV-00016,TKT-00023,airport_fee,PSC,Passenger Service Charge,251.8,CNY
INL-00111,INV-00016,TKT-00023,airport_fee,SEC,Security Fee,86.33,CNY
INL-00112,INV-00016,TKT-00023,ancillary,SEATPR,Ancillary service: SEATPR,179.86,CNY
INL-00113,INV-00016,TKT-00024,base_fare,BIZFL,Base fare: Business Flex,18009.21,CNY
INL-00114,INV-00016,TKT-00024,tax,GVT,Government Passenger Tax,1260.64,CNY
INL-00115,INV-00016,TKT-00024,airport_fee,PSC,Passenger Service Charge,251.8,CNY
INL-00116,INV-00016,TKT-00024,airport_fee,SEC,Security Fee,86.33,CNY
INL-00117,INV-00016,TKT-00024,ancillary,SEATPR,Ancillary service: SEATPR,179.86,CNY
INL-00118,INV-00017,TKT-00025,base_fare,FIRST,Base fare: First,10905.01,BRL
INL-00119,INV-00017,TKT-00025,tax,GVT,Government Passenger Tax,763.35,BRL
INL-00120,INV-00017,TKT-00025,airport_fee,PSC,Passenger Service Charge,205.88,BRL
INL-00121,INV-00017,TKT-00025,airport_fee,SEC,Security Fee,70.59,BRL
INL-00122,INV-00017,TKT-00026,base_fare,FIRST,Base fare: First,10905.01,BRL
INL-00123,INV-00017,TKT-00026,tax,GVT,Government Passenger Tax,763.35,BRL
INL-00124,INV-00017,TKT-00026,airport_fee,PSC,Passenger Service Charge,205.88,BRL
INL-00125,INV-00017,TKT-00026,airport_fee,SEC,Security Fee,70.59,BRL
INL-00126,INV-00017,,discount,CORP-CORP-002,Discount: Corporate rate: Northfield Industrial Holdings,-2181.0,BRL
INL-00127,INV-00018,TKT-00027,base_fare,BIZSV,Base fare: Business Saver,1741.86,EUR
INL-00128,INV-00018,TKT-00027,tax,GVT,Government Passenger Tax,121.93,EUR
INL-00129,INV-00018,TKT-00027,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00130,INV-00018,TKT-00027,airport_fee,SEC,Security Fee,11.01,EUR
INL-00131,INV-00019,TKT-00028,base_fare,BIZSV,Base fare: Business Saver,1284.02,EUR
INL-00132,INV-00019,TKT-00028,tax,GVT,Government Passenger Tax,89.88,EUR
INL-00133,INV-00019,TKT-00028,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00134,INV-00019,TKT-00028,airport_fee,SEC,Security Fee,11.01,EUR
INL-00135,INV-00019,TKT-00028,ancillary,WIFI,Ancillary service: WIFI,13.76,EUR
INL-00136,INV-00019,TKT-00028,ancillary,UPGCB,Ancillary service: UPGCB,201.83,EUR
INL-00137,INV-00020,TKT-00029,base_fare,ECOFL,Base fare: Economy Flex,4984.45,CNY
INL-00138,INV-00020,TKT-00029,tax,GVT,Government Passenger Tax,348.91,CNY
INL-00139,INV-00020,TKT-00029,airport_fee,PSC,Passenger Service Charge,251.8,CNY
INL-00140,INV-00020,TKT-00029,airport_fee,SEC,Security Fee,86.33,CNY
INL-00141,INV-00020,TKT-00029,ancillary,UPGCB,Ancillary service: UPGCB,1582.73,CNY
INL-00142,INV-00020,,discount,CORP-CORP-005,Discount: Corporate rate: Falcon Logistics International,-498.44,CNY
INL-00143,INV-00021,TKT-00030,base_fare,ECOSV,Base fare: Economy Saver,2902.37,BRL
INL-00144,INV-00021,TKT-00030,tax,GVT,Government Passenger Tax,203.17,BRL
INL-00145,INV-00021,TKT-00030,airport_fee,PSC,Passenger Service Charge,205.88,BRL
INL-00146,INV-00021,TKT-00030,airport_fee,SEC,Security Fee,70.59,BRL
INL-00147,INV-00021,TKT-00031,base_fare,ECOSV,Base fare: Economy Saver,2902.37,BRL
INL-00148,INV-00021,TKT-00031,tax,GVT,Government Passenger Tax,203.17,BRL
INL-00149,INV-00021,TKT-00031,airport_fee,PSC,Passenger Service Charge,205.88,BRL
INL-00150,INV-00021,TKT-00031,airport_fee,SEC,Security Fee,70.59,BRL
INL-00151,INV-00021,TKT-00031,ancillary,BAG20,Ancillary service: BAG20,264.71,BRL
INL-00152,INV-00021,TKT-00032,base_fare,ECOSV,Base fare: Economy Saver,2902.37,BRL
INL-00153,INV-00021,TKT-00032,tax,GVT,Government Passenger Tax,203.17,BRL
INL-00154,INV-00021,TKT-00032,airport_fee,PSC,Passenger Service Charge,205.88,BRL
INL-00155,INV-00021,TKT-00032,airport_fee,SEC,Security Fee,70.59,BRL
INL-00156,INV-00021,TKT-00032,ancillary,SEATPR,Ancillary service: SEATPR,147.06,BRL
INL-00157,INV-00021,,discount,CORP-CORP-001,Discount: Corporate rate: Vantage Consulting Group,-1044.85,BRL
INL-00158,INV-00022,TKT-00033,base_fare,BIZFL,Base fare: Business Flex,1619.24,AUD
INL-00159,INV-00022,TKT-00033,tax,GVT,Government Passenger Tax,113.35,AUD
INL-00160,INV-00022,TKT-00033,airport_fee,PSC,Passenger Service Charge,53.03,AUD
INL-00161,INV-00022,TKT-00033,airport_fee,SEC,Security Fee,18.18,AUD
INL-00162,INV-00022,,discount,CORP-CORP-005,Discount: Corporate rate: Falcon Logistics International,-161.92,AUD
INL-00163,INV-00023,TKT-00034,base_fare,PREMY,Base fare: Premium Economy,111215.82,JPY
INL-00164,INV-00023,TKT-00034,tax,GVT,Government Passenger Tax,7785.11,JPY
INL-00165,INV-00023,TKT-00034,airport_fee,PSC,Passenger Service Charge,5223.88,JPY
INL-00166,INV-00023,TKT-00034,airport_fee,SEC,Security Fee,1791.04,JPY
INL-00167,INV-00023,TKT-00035,base_fare,PREMY,Base fare: Premium Economy,111215.82,JPY
INL-00168,INV-00023,TKT-00035,tax,GVT,Government Passenger Tax,7785.11,JPY
INL-00169,INV-00023,TKT-00035,airport_fee,PSC,Passenger Service Charge,5223.88,JPY
INL-00170,INV-00023,TKT-00035,airport_fee,SEC,Security Fee,1791.04,JPY
INL-00171,INV-00024,TKT-00036,base_fare,FIRST,Base fare: First,20196.61,BRL
INL-00172,INV-00024,TKT-00036,tax,GVT,Government Passenger Tax,1413.76,BRL
INL-00173,INV-00024,TKT-00036,airport_fee,PSC,Passenger Service Charge,205.88,BRL
INL-00174,INV-00024,TKT-00036,airport_fee,SEC,Security Fee,70.59,BRL
INL-00175,INV-00024,TKT-00036,ancillary,BAG20,Ancillary service: BAG20,264.71,BRL
INL-00176,INV-00025,TKT-00037,base_fare,ECOFL,Base fare: Economy Flex,1021.33,USD
INL-00177,INV-00025,TKT-00037,tax,GVT,Government Passenger Tax,71.49,USD
INL-00178,INV-00025,TKT-00037,airport_fee,PSC,Passenger Service Charge,35.0,USD
INL-00179,INV-00025,TKT-00037,airport_fee,SEC,Security Fee,12.0,USD
INL-00180,INV-00025,TKT-00038,base_fare,ECOFL,Base fare: Economy Flex,1021.33,USD
INL-00181,INV-00025,TKT-00038,tax,GVT,Government Passenger Tax,71.49,USD
INL-00182,INV-00025,TKT-00038,airport_fee,PSC,Passenger Service Charge,35.0,USD
INL-00183,INV-00025,TKT-00038,airport_fee,SEC,Security Fee,12.0,USD
INL-00184,INV-00025,TKT-00038,ancillary,SEATPR,Ancillary service: SEATPR,25.0,USD
INL-00185,INV-00025,TKT-00039,base_fare,ECOFL,Base fare: Economy Flex,1021.33,USD
INL-00186,INV-00025,TKT-00039,tax,GVT,Government Passenger Tax,71.49,USD
INL-00187,INV-00025,TKT-00039,airport_fee,PSC,Passenger Service Charge,35.0,USD
INL-00188,INV-00025,TKT-00039,airport_fee,SEC,Security Fee,12.0,USD
INL-00189,INV-00026,TKT-00040,base_fare,PREMY,Base fare: Premium Economy,1190.61,EUR
INL-00190,INV-00026,TKT-00040,tax,GVT,Government Passenger Tax,83.34,EUR
INL-00191,INV-00026,TKT-00040,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00192,INV-00026,TKT-00040,airport_fee,SEC,Security Fee,11.01,EUR
INL-00193,INV-00026,TKT-00041,base_fare,PREMY,Base fare: Premium Economy,1190.61,EUR
INL-00194,INV-00026,TKT-00041,tax,GVT,Government Passenger Tax,83.34,EUR
INL-00195,INV-00026,TKT-00041,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00196,INV-00026,TKT-00041,airport_fee,SEC,Security Fee,11.01,EUR
INL-00197,INV-00026,TKT-00041,ancillary,UPGCB,Ancillary service: UPGCB,201.83,EUR
INL-00198,INV-00027,TKT-00042,base_fare,FIRST,Base fare: First,64126.56,ZAR
INL-00199,INV-00027,TKT-00042,tax,GVT,Government Passenger Tax,4488.86,ZAR
INL-00200,INV-00027,TKT-00042,airport_fee,PSC,Passenger Service Charge,648.15,ZAR
INL-00201,INV-00027,TKT-00042,airport_fee,SEC,Security Fee,222.22,ZAR
INL-00202,INV-00027,TKT-00042,ancillary,LOUNGE,Ancillary service: LOUNGE,1018.52,ZAR
INL-00203,INV-00027,,discount,CORP-CORP-003,Discount: Corporate rate: Solenne Cosmetiques,-5130.12,ZAR
INL-00204,INV-00028,TKT-00043,base_fare,PREMY,Base fare: Premium Economy,693.45,EUR
INL-00205,INV-00028,TKT-00043,tax,GVT,Government Passenger Tax,48.54,EUR
INL-00206,INV-00028,TKT-00043,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00207,INV-00028,TKT-00043,airport_fee,SEC,Security Fee,11.01,EUR
INL-00208,INV-00028,TKT-00043,ancillary,WIFI,Ancillary service: WIFI,13.76,EUR
INL-00209,INV-00028,TKT-00044,base_fare,PREMY,Base fare: Premium Economy,693.45,EUR
INL-00210,INV-00028,TKT-00044,tax,GVT,Government Passenger Tax,48.54,EUR
INL-00211,INV-00028,TKT-00044,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00212,INV-00028,TKT-00044,airport_fee,SEC,Security Fee,11.01,EUR
INL-00213,INV-00028,TKT-00044,ancillary,SEATPR,Ancillary service: SEATPR,22.94,EUR
INL-00214,INV-00028,TKT-00045,base_fare,PREMY,Base fare: Premium Economy,693.45,EUR
INL-00215,INV-00028,TKT-00045,tax,GVT,Government Passenger Tax,48.54,EUR
INL-00216,INV-00028,TKT-00045,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00217,INV-00028,TKT-00045,airport_fee,SEC,Security Fee,11.01,EUR
INL-00218,INV-00028,,discount,CORP-CORP-005,Discount: Corporate rate: Falcon Logistics International,-208.04,EUR
INL-00219,INV-00029,TKT-00046,base_fare,BIZFL,Base fare: Business Flex,5454.73,AUD
INL-00220,INV-00029,TKT-00046,tax,GVT,Government Passenger Tax,381.83,AUD
INL-00221,INV-00029,TKT-00046,airport_fee,PSC,Passenger Service Charge,53.03,AUD
INL-00222,INV-00029,TKT-00046,airport_fee,SEC,Security Fee,18.18,AUD
INL-00223,INV-00029,,discount,CORP-CORP-005,Discount: Corporate rate: Falcon Logistics International,-545.47,AUD
INL-00224,INV-00030,TKT-00047,base_fare,BIZFL,Base fare: Business Flex,3302.86,EUR
INL-00225,INV-00030,TKT-00047,tax,GVT,Government Passenger Tax,231.2,EUR
INL-00226,INV-00030,TKT-00047,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00227,INV-00030,TKT-00047,airport_fee,SEC,Security Fee,11.01,EUR
INL-00228,INV-00030,,discount,CORP-CORP-002,Discount: Corporate rate: Northfield Industrial Holdings,-330.29,EUR
INL-00229,INV-00031,TKT-00048,base_fare,BIZFL,Base fare: Business Flex,1479.91,GBP
INL-00230,INV-00031,TKT-00048,tax,GVT,Government Passenger Tax,103.59,GBP
INL-00231,INV-00031,TKT-00048,airport_fee,PSC,Passenger Service Charge,27.56,GBP
INL-00232,INV-00031,TKT-00048,airport_fee,SEC,Security Fee,9.45,GBP
INL-00233,INV-00031,TKT-00049,base_fare,BIZFL,Base fare: Business Flex,1479.91,GBP
INL-00234,INV-00031,TKT-00049,tax,GVT,Government Passenger Tax,103.59,GBP
INL-00235,INV-00031,TKT-00049,airport_fee,PSC,Passenger Service Charge,27.56,GBP
INL-00236,INV-00031,TKT-00049,airport_fee,SEC,Security Fee,9.45,GBP
INL-00237,INV-00032,TKT-00050,base_fare,BIZSV,Base fare: Business Saver,3747.64,AUD
INL-00238,INV-00032,TKT-00050,tax,GVT,Government Passenger Tax,262.33,AUD
INL-00239,INV-00032,TKT-00050,airport_fee,PSC,Passenger Service Charge,53.03,AUD
INL-00240,INV-00032,TKT-00050,airport_fee,SEC,Security Fee,18.18,AUD
INL-00241,INV-00033,TKT-00051,base_fare,BIZFL,Base fare: Business Flex,2911.39,AUD
INL-00242,INV-00033,TKT-00051,tax,GVT,Government Passenger Tax,203.8,AUD
INL-00243,INV-00033,TKT-00051,airport_fee,PSC,Passenger Service Charge,53.03,AUD
INL-00244,INV-00033,TKT-00051,airport_fee,SEC,Security Fee,18.18,AUD
INL-00245,INV-00033,TKT-00051,ancillary,LOUNGE,Ancillary service: LOUNGE,83.33,AUD
INL-00246,INV-00033,,discount,CORP-CORP-002,Discount: Corporate rate: Northfield Industrial Holdings,-291.14,AUD
INL-00247,INV-00034,TKT-00052,base_fare,BIZFL,Base fare: Business Flex,933.54,EUR
INL-00248,INV-00034,TKT-00052,tax,GVT,Government Passenger Tax,65.35,EUR
INL-00249,INV-00034,TKT-00052,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00250,INV-00034,TKT-00052,airport_fee,SEC,Security Fee,11.01,EUR
INL-00251,INV-00034,TKT-00053,base_fare,BIZFL,Base fare: Business Flex,933.54,EUR
INL-00252,INV-00034,TKT-00053,tax,GVT,Government Passenger Tax,65.35,EUR
INL-00253,INV-00034,TKT-00053,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00254,INV-00034,TKT-00053,airport_fee,SEC,Security Fee,11.01,EUR
INL-00255,INV-00034,TKT-00054,base_fare,BIZFL,Base fare: Business Flex,933.54,EUR
INL-00256,INV-00034,TKT-00054,tax,GVT,Government Passenger Tax,65.35,EUR
INL-00257,INV-00034,TKT-00054,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00258,INV-00034,TKT-00054,airport_fee,SEC,Security Fee,11.01,EUR
INL-00259,INV-00034,TKT-00054,ancillary,WIFI,Ancillary service: WIFI,13.76,EUR
INL-00260,INV-00035,TKT-00055,base_fare,FIRST,Base fare: First,3433.42,USD
INL-00261,INV-00035,TKT-00055,tax,GVT,Government Passenger Tax,240.34,USD
INL-00262,INV-00035,TKT-00055,airport_fee,PSC,Passenger Service Charge,35.0,USD
INL-00263,INV-00035,TKT-00055,airport_fee,SEC,Security Fee,12.0,USD
INL-00264,INV-00035,,discount,CORP-CORP-003,Discount: Corporate rate: Solenne Cosmetiques,-274.67,USD
INL-00265,INV-00036,TKT-00056,base_fare,BIZFL,Base fare: Business Flex,1444.81,EUR
INL-00266,INV-00036,TKT-00056,tax,GVT,Government Passenger Tax,101.14,EUR
INL-00267,INV-00036,TKT-00056,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00268,INV-00036,TKT-00056,airport_fee,SEC,Security Fee,11.01,EUR
INL-00269,INV-00037,TKT-00057,base_fare,ECOFL,Base fare: Economy Flex,15023.35,TRY
INL-00270,INV-00037,TKT-00057,tax,GVT,Government Passenger Tax,1051.63,TRY
INL-00271,INV-00037,TKT-00057,airport_fee,PSC,Passenger Service Charge,1166.67,TRY
INL-00272,INV-00037,TKT-00057,airport_fee,SEC,Security Fee,400.0,TRY
INL-00273,INV-00038,TKT-00058,base_fare,PREMY,Base fare: Premium Economy,667.23,EUR
INL-00274,INV-00038,TKT-00058,tax,GVT,Government Passenger Tax,46.71,EUR
INL-00275,INV-00038,TKT-00058,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00276,INV-00038,TKT-00058,airport_fee,SEC,Security Fee,11.01,EUR
INL-00277,INV-00038,TKT-00058,ancillary,UPGCB,Ancillary service: UPGCB,201.83,EUR
INL-00278,INV-00038,TKT-00058,ancillary,BAG20,Ancillary service: BAG20,41.28,EUR
INL-00279,INV-00038,TKT-00059,base_fare,PREMY,Base fare: Premium Economy,667.23,EUR
INL-00280,INV-00038,TKT-00059,tax,GVT,Government Passenger Tax,46.71,EUR
INL-00281,INV-00038,TKT-00059,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00282,INV-00038,TKT-00059,airport_fee,SEC,Security Fee,11.01,EUR
INL-00283,INV-00038,TKT-00059,ancillary,MEALSP,Ancillary service: MEALSP,18.35,EUR
INL-00284,INV-00038,TKT-00060,base_fare,PREMY,Base fare: Premium Economy,667.23,EUR
INL-00285,INV-00038,TKT-00060,tax,GVT,Government Passenger Tax,46.71,EUR
INL-00286,INV-00038,TKT-00060,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00287,INV-00038,TKT-00060,airport_fee,SEC,Security Fee,11.01,EUR
INL-00288,INV-00038,TKT-00060,ancillary,SEATPR,Ancillary service: SEATPR,22.94,EUR
INL-00289,INV-00039,TKT-00061,base_fare,BIZSV,Base fare: Business Saver,1923.78,SGD
INL-00290,INV-00039,TKT-00061,tax,GVT,Government Passenger Tax,134.66,SGD
INL-00291,INV-00039,TKT-00061,airport_fee,PSC,Passenger Service Charge,46.98,SGD
INL-00292,INV-00039,TKT-00061,airport_fee,SEC,Security Fee,16.11,SGD
INL-00293,INV-00039,TKT-00061,ancillary,SEATXL,Ancillary service: SEATXL,80.54,SGD
INL-00294,INV-00039,,discount,CORP-CORP-004,Discount: Corporate rate: Meridian Bank Group,-288.57,SGD
INL-00295,INV-00040,TKT-00062,base_fare,ECOFL,Base fare: Economy Flex,736.16,EUR
INL-00296,INV-00040,TKT-00062,tax,GVT,Government Passenger Tax,51.53,EUR
INL-00297,INV-00040,TKT-00062,airport_fee,PSC,Passenger Service Charge,32.11,EUR
INL-00298,INV-00040,TKT-00062,airport_fee,SEC,Security Fee,11.01,EUR
INL-00299,INV-00040,,discount,CORP-CORP-003,Discount: Corporate rate: Solenne Cosmetiques,-58.89,EUR
