payment_id,payment_attempt_id,invoice_id,payment_datetime_utc,method,amount,currency,allocation_status
PMT-00132,PAT-00149,INV-00139,2025-12-25T11:00:00Z,card,12126.08,CNY,fully_allocated
PMT-00133,PAT-00150,INV-00140,2025-11-19T11:00:00Z,card,2609.48,EUR,fully_allocated
PMT-00134,PAT-00151,INV-00141,2025-12-04T11:00:00Z,card,1005.47,CAD,fully_allocated
PMT-00135,PAT-00153,INV-00142,2025-12-04T17:00:00Z,bank_transfer,9225.18,AUD,fully_allocated
PMT-00136,PAT-00154,INV-00143,2025-12-08T11:00:00Z,card,6927.38,USD,fully_allocated
PMT-00137,PAT-00155,INV-00144,2025-11-24T11:00:00Z,card,5457.92,AUD,fully_allocated
PMT-00138,PAT-00156,INV-00145,2025-12-10T11:00:00Z,card,989.45,EUR,fully_allocated
PMT-00139,PAT-00157,INV-00146,2025-11-12T11:00:00Z,card,33977.75,ZAR,fully_allocated
PMT-00140,PAT-00158,INV-00147,2025-12-27T11:00:00Z,card,7057.89,EUR,fully_allocated
PMT-00141,PAT-00159,INV-00148,2025-11-12T11:00:00Z,card,282.8,CAD,fully_allocated
PMT-00142,PAT-00161,INV-00149,2025-12-14T17:00:00Z,bank_transfer,33284.81,CNY,fully_allocated
PMT-00143,PAT-00163,INV-00151,2025-12-24T11:00:00Z,card,1635.42,EUR,fully_allocated
PMT-00144,PAT-00164,INV-00152,2025-12-18T11:00:00Z,card,1516.23,EUR,fully_allocated
PMT-00145,PAT-00165,INV-00153,2025-12-05T11:00:00Z,card,4769.41,AUD,fully_allocated
PMT-00146,PAT-00166,INV-00154,2025-12-12T11:00:00Z,card,6486.57,EUR,fully_allocated
PMT-00147,PAT-00168,INV-00155,2025-12-28T17:00:00Z,bank_transfer,83202.81,TRY,fully_allocated
PMT-00148,PAT-00169,INV-00156,2025-12-14T11:00:00Z,card,244552.62,JPY,fully_allocated
PMT-00149,PAT-00171,INV-00158,2025-11-24T11:00:00Z,card,411842.28,TRY,fully_allocated
PMT-00150,PAT-00172,INV-00159,2025-12-27T11:00:00Z,card,982.98,EUR,fully_allocated
PMT-00151,PAT-00173,INV-00160,2025-12-19T11:00:00Z,card,303077.85,JPY,fully_allocated
PMT-00152,PAT-00174,INV-00161,2025-12-21T11:00:00Z,card,831.88,EUR,fully_allocated
PMT-00153,PAT-00175,INV-00162,2025-12-08T11:00:00Z,card,3098.43,CNY,fully_allocated
PMT-00154,PAT-00176,INV-00163,2025-12-06T11:00:00Z,card,1461.12,EUR,fully_allocated
PMT-00155,PAT-00177,INV-00164,2025-12-01T11:00:00Z,card,863.64,EUR,fully_allocated
PMT-00156,PAT-00178,INV-00165,2025-12-23T11:00:00Z,card,6388.34,EUR,fully_allocated
PMT-00157,PAT-00180,INV-00166,2025-11-28T17:00:00Z,bank_transfer,6581.1,USD,fully_allocated
PMT-00158,PAT-00181,INV-00167,2025-12-26T11:00:00Z,card,13675.04,BRL,fully_allocated
PMT-00159,PAT-00182,INV-00168,2026-01-01T11:00:00Z,card,1898.03,EUR,fully_allocated
PMT-00160,PAT-00183,INV-00169,2025-12-22T11:00:00Z,card,1415118.29,JPY,fully_allocated
PMT-00161,PAT-00184,INV-00170,2025-11-18T11:00:00Z,card,11632.53,CNY,fully_allocated
PMT-00162,PAT-00185,INV-00171,2025-12-19T11:00:00Z,card,2765.65,SGD,fully_allocated
PMT-00163,PAT-00186,INV-00172,2025-12-25T11:00:00Z,card,4341.28,AUD,fully_allocated
PMT-00164,PAT-00187,INV-00173,2025-12-20T11:00:00Z,card,17605.8,ZAR,fully_allocated
PMT-00165,PAT-00188,INV-00174,2026-01-03T11:00:00Z,card,2305.82,SGD,fully_allocated
PMT-00166,PAT-00190,INV-00175,2025-11-05T17:00:00Z,bank_transfer,9842.0,SGD,fully_allocated
PMT-00167,PAT-00191,INV-00176,2025-12-01T11:00:00Z,card,595.02,AUD,fully_allocated
PMT-00168,PAT-00192,INV-00177,2025-12-14T11:00:00Z,card,2962.7,EUR,fully_allocated
PMT-00169,PAT-00193,INV-00178,2025-12-21T11:00:00Z,card,9888.55,BRL,fully_allocated
PMT-00170,PAT-00194,INV-00179,2025-11-14T11:00:00Z,card,21754.02,AUD,fully_allocated
PMT-09001,,INV-99999,2026-01-02T10:00:00Z,bank_transfer,320.0,USD,unallocated
