invoice_id,booking_id,invoice_date_utc,currency,bill_to_type,bill_to_id,subtotal_amount,tax_amount,fee_amount,ancillary_amount,discount_amount,total_amount,status
INV-00026,BKG-00026,2026-01-14T09:00:00Z,EUR,passenger,PSG-00063,2381.22,166.68,86.24,201.83,0.0,2835.97,paid
INV-00027,BKG-00027,2025-12-13T09:00:00Z,ZAR,corporate,CORP-003,64126.56,4488.86,870.37,1018.52,5130.12,65374.19,paid
INV-00028,BKG-00028,2025-12-05T09:00:00Z,EUR,corporate,CORP-005,2080.35,145.62,129.36,36.7,208.04,2183.99,paid
INV-00029,BKG-00029,2025-12-26T09:00:00Z,AUD,corporate,CORP-005,5454.73,381.83,71.21,0.0,545.47,5362.3,paid
INV-00030,BKG-00030,2025-12-29T09:00:00Z,EUR,corporate,CORP-002,3302.86,231.2,43.12,0.0,330.29,3246.89,paid
INV-00031,BKG-00031,2025-12-02T09:00:00Z,GBP,passenger,PSG-00141,2959.82,207.18,74.02,0.0,0.0,3241.02,paid
INV-00032,BKG-00032,2025-12-09T09:00:00Z,AUD,travel_agent,TA-001,3747.64,262.33,71.21,0.0,0.0,4081.18,paid
INV-00033,BKG-00033,2025-12-21T09:00:00Z,AUD,corporate,CORP-002,2911.39,203.8,71.21,83.33,291.14,2978.59,paid
INV-00034,BKG-00034,2025-12-13T09:00:00Z,EUR,travel_agent,TA-006,2800.62,196.05,129.36,13.76,0.0,3139.79,paid
INV-00035,BKG-00035,2026-01-03T09:00:00Z,USD,corporate,CORP-003,3433.42,240.34,47.0,0.0,274.67,3446.09,paid
INV-00036,BKG-00036,2025-11-29T09:00:00Z,EUR,passenger,PSG-00067,1444.81,101.14,43.12,0.0,0.0,1589.07,paid
INV-00037,BKG-00037,2026-01-01T09:00:00Z,TRY,travel_agent,TA-008,15023.35,1051.63,1566.67,0.0,0.0,17641.65,paid
INV-00038,BKG-00038,2025-11-20T09:00:00Z,EUR,passenger,PSG-00107,2001.69,140.13,129.36,284.4,0.0,2555.58,paid
INV-00039,BKG-00039,2025-11-11T09:00:00Z,SGD,corporate,CORP-004,1923.78,134.66,63.09,80.54,288.57,1913.5,paid
INV-00040,BKG-00040,2025-11-21T09:00:00Z,EUR,corporate,CORP-003,736.16,51.53,43.12,0.0,58.89,771.92,paid
INV-00041,BKG-00041,2026-01-17T09:00:00Z,JPY,corporate,CORP-005,931970.75,65237.95,7014.92,0.0,93197.08,911026.54,paid
INV-00042,BKG-00042,2025-11-08T09:00:00Z,EUR,passenger,PSG-00042,3655.82,255.91,43.12,0.0,0.0,3954.85,paid
INV-00043,BKG-00043,2025-12-07T09:00:00Z,AUD,corporate,CORP-005,2203.88,154.28,142.42,0.0,220.39,2280.19,refunded
INV-00044,BKG-00044,2025-11-28T09:00:00Z,EUR,travel_agent,TA-002,1073.1,75.12,129.36,18.35,0.0,1295.93,paid
INV-00045,BKG-00045,2025-12-30T09:00:00Z,AED,passenger,PSG-00008,9428.8,660.02,345.2,220.35,91.81,10562.56,paid
INV-00046,BKG-00046,2025-12-11T09:00:00Z,BRL,travel_agent,TA-004,3761.21,263.28,276.47,0.0,0.0,4300.96,paid
INV-00047,BKG-00047,2025-11-19T09:00:00Z,ZAR,travel_agent,TA-001,63581.93,4450.73,870.37,0.0,0.0,68903.03,paid
INV-00048,BKG-00048,2025-12-26T09:00:00Z,GBP,travel_agent,TA-005,2834.74,198.43,37.01,47.24,0.0,3117.42,paid
INV-00049,BKG-00049,2025-11-25T09:00:00Z,EUR,travel_agent,TA-002,3603.7,252.26,86.24,41.28,0.0,3983.48,paid
INV-00050,BKG-00050,2025-12-16T09:00:00Z,AUD,corporate,CORP-005,1860.3,130.22,142.42,106.06,186.03,2052.97,paid
INV-00051,BKG-00051,2025-12-09T09:00:00Z,CNY,passenger,PSG-00054,18009.21,1260.64,338.13,1582.73,0.0,21190.71,paid
INV-00052,BKG-00052,2025-12-08T09:00:00Z,EUR,travel_agent,TA-002,303.71,21.26,43.12,201.83,0.0,569.92,paid
INV-00053,BKG-00053,2025-11-08T09:00:00Z,AUD,corporate,CORP-001,12075.28,845.26,142.42,0.0,1449.03,11613.93,paid
INV-00054,BKG-00054,2025-12-02T09:00:00Z,AUD,travel_agent,TA-002,1217.21,85.2,71.21,83.33,0.0,1456.95,paid
INV-00055,BKG-00055,2025-11-10T09:00:00Z,EUR,travel_agent,TA-005,7679.79,537.57,129.36,275.23,0.0,8621.95,paid
INV-00056,BKG-00056,2025-12-11T09:00:00Z,TRY,corporate,CORP-003,111438.6,7800.69,4700.01,0.0,8915.09,115024.21,paid
INV-00057,BKG-00057,2026-01-18T09:00:00Z,BRL,passenger,PSG-00012,7033.02,492.32,552.94,352.94,0.0,8431.22,paid
INV-00058,BKG-00058,2026-01-04T09:00:00Z,AUD,passenger,PSG-00141,3238.48,226.7,142.42,0.0,0.0,3607.6,paid
INV-00059,BKG-00059,2025-12-10T09:00:00Z,ZAR,travel_agent,TA-002,40199.1,2813.94,1740.74,277.78,0.0,45031.56,issued
INV-00060,BKG-00060,2025-11-01T09:00:00Z,GBP,corporate,CORP-003,1895.46,132.69,111.03,0.0,151.64,1987.54,paid
INV-00061,BKG-00061,2025-12-12T09:00:00Z,EUR,travel_agent,TA-004,6114.92,428.04,43.12,256.88,0.0,6842.96,paid
INV-00062,BKG-00062,2025-12-06T09:00:00Z,EUR,travel_agent,TA-006,832.88,58.3,86.24,0.0,0.0,977.42,paid
INV-00063,BKG-00063,2025-11-23T09:00:00Z,EUR,travel_agent,TA-003,2955.78,206.9,43.12,0.0,0.0,3205.8,paid
INV-00064,BKG-00064,2025-12-30T09:00:00Z,CAD,passenger,PSG-00047,465.15,32.56,63.52,0.0,0.0,561.23,paid
INV-00065,BKG-00065,2025-12-08T09:00:00Z,USD,passenger,PSG-00073,1519.62,106.38,141.0,55.0,0.0,1822.0,paid
INV-00066,BKG-00066,2025-11-24T09:00:00Z,ZAR,passenger,PSG-00069,90114.27,6308.01,2611.11,1481.48,0.0,100514.87,paid
INV-00067,BKG-00067,2025-11-23T09:00:00Z,EUR,travel_agent,TA-005,6328.65,443.01,43.12,0.0,0.0,6814.78,paid
INV-00068,BKG-00068,2025-12-02T09:00:00Z,EUR,corporate,CORP-003,1855.23,129.87,129.36,13.76,148.42,1979.8,paid
INV-00069,BKG-00069,2026-01-14T09:00:00Z,ZAR,passenger,PSG-00109,26493.0,1854.52,1740.74,1388.89,0.0,31477.15,paid
INV-00070,BKG-00070,2025-12-19T09:00:00Z,ZAR,passenger,PSG-00052,7604.78,532.34,1740.74,277.78,0.0,10155.64,paid
INV-00071,BKG-00071,2025-12-29T09:00:00Z,AUD,travel_agent,TA-008,1121.48,78.5,71.21,90.91,0.0,1362.1,paid
INV-00072,BKG-00072,2025-12-25T09:00:00Z,CAD,corporate,CORP-004,1000.23,70.02,63.52,74.32,150.03,1058.06,paid
INV-00073,BKG-00073,2026-01-04T09:00:00Z,AUD,corporate,CORP-001,1917.42,134.22,142.42,90.91,230.09,2054.88,paid
INV-00074,BKG-00074,2025-10-28T09:00:00Z,CAD,passenger,PSG-00061,5710.44,399.74,127.04,0.0,0.0,6237.22,refunded
INV-00075,BKG-00075,2025-11-17T09:00:00Z,CNY,travel_agent,TA-001,5779.57,404.57,338.13,0.0,0.0,6522.27,issued
INV-00076,BKG-00076,2025-12-03T09:00:00Z,SGD,travel_agent,TA-002,1014.57,71.02,63.09,0.0,0.0,1148.68,paid
INV-00077,BKG-00077,2025-11-23T09:00:00Z,JPY,corporate,CORP-003,108549.1,7598.44,7014.92,0.0,8683.93,114478.53,paid
INV-00078,BKG-00078,2025-11-16T09:00:00Z,TRY,travel_agent,TA-002,54099.66,3786.98,3133.34,8833.33,0.0,69853.31,paid
INV-00079,BKG-00079,2026-01-06T09:00:00Z,EUR,corporate,CORP-001,696.15,48.73,43.12,0.0,83.54,704.46,paid
INV-00080,BKG-00080,2026-01-04T09:00:00Z,CAD,passenger,PSG-00113,2948.43,206.4,190.56,54.05,0.0,3399.44,paid
INV-00081,BKG-00081,2025-11-12T09:00:00Z,EUR,corporate,CORP-004,715.83,50.11,43.12,50.46,107.37,752.15,paid
INV-00082,BKG-00082,2025-12-08T09:00:00Z,CAD,passenger,PSG-00001,1031.36,72.2,63.52,0.0,0.0,1167.08,paid
INV-00083,BKG-00083,2025-12-16T09:00:00Z,CAD,corporate,CORP-001,1025.4,71.78,63.52,0.0,123.05,1037.65,paid
INV-00084,BKG-00084,2025-12-24T09:00:00Z,ZAR,passenger,PSG-00038,110157.04,7711.0,1740.74,0.0,0.0,119608.78,paid
INV-00085,BKG-00085,2025-11-21T09:00:00Z,EUR,travel_agent,TA-007,413.49,28.94,43.12,0.0,0.0,485.55,paid
INV-00086,BKG-00086,2025-12-28T09:00:00Z,AUD,passenger,PSG-00001,7199.25,503.95,71.21,0.0,37.88,7736.53,paid
INV-00087,BKG-00087,2025-11-20T09:00:00Z,EUR,travel_agent,TA-007,758.23,53.08,43.12,22.94,0.0,877.37,paid
INV-00088,BKG-00088,2025-12-11T09:00:00Z,JPY,travel_agent,TA-006,323992.68,22679.48,14029.84,3731.34,0.0,364433.34,paid
INV-00089,BKG-00089,2025-12-02T09:00:00Z,GBP,corporate,CORP-001,1971.09,137.98,37.01,35.43,236.53,1944.98,paid
INV-00090,BKG-00090,2025-12-09T09:00:00Z,GBP,passenger,PSG-00016,503.47,35.24,37.01,15.75,0.0,591.47,paid
INV-00091,BKG-00091,2025-12-02T09:00:00Z,GBP,passenger,PSG-00130,1457.73,102.04,37.01,0.0,0.0,1596.78,paid
INV-00092,BKG-00092,2025-11-05T09:00:00Z,CNY,travel_agent,TA-008,11585.32,810.97,338.13,143.88,0.0,12878.3,paid
INV-00093,BKG-00093,2025-12-18T09:00:00Z,JPY,passenger,PSG-00115,95433.58,6680.35,7014.92,8955.22,0.0,118084.07,paid
INV-00094,BKG-00094,2026-01-05T09:00:00Z,AUD,corporate,CORP-001,17056.56,1193.97,213.63,143.94,2046.79,16561.31,paid
INV-00095,BKG-00095,2025-12-03T09:00:00Z,ZAR,passenger,PSG-00007,34330.59,2403.14,870.37,0.0,0.0,37604.1,refunded
INV-00096,BKG-00096,2025-11-18T09:00:00Z,AUD,passenger,PSG-00047,2808.87,196.62,71.21,0.0,140.44,2936.26,paid
INV-00097,BKG-00097,2025-12-27T09:00:00Z,AUD,corporate,CORP-004,1049.75,73.48,71.21,0.0,157.46,1036.98,issued
INV-00098,BKG-00098,2025-11-22T09:00:00Z,EUR,corporate,CORP-005,2147.49,150.33,129.36,55.05,214.75,2267.48,paid
INV-00099,BKG-00099,2025-12-06T09:00:00Z,EUR,corporate,CORP-001,702.2,49.16,86.24,55.05,84.26,808.39,paid
INV-00100,BKG-00100,2025-11-14T09:00:00Z,EUR,travel_agent,TA-006,607.42,42.52,86.24,243.11,0.0,979.29,paid
INV-00101,BKG-00101,2025-12-07T09:00:00Z,JPY,travel_agent,TA-002,875068.65,61254.81,21044.76,0.0,0.0,957368.22,paid
INV-00102,BKG-00102,2025-12-01T09:00:00Z,CNY,travel_agent,TA-003,52813.47,3696.93,1014.39,431.65,0.0,57956.44,paid
INV-00103,BKG-00103,2025-11-11T09:00:00Z,USD,passenger,PSG-00143,2790.32,195.32,47.0,0.0,139.52,2893.12,paid
INV-00104,BKG-00104,2025-12-09T09:00:00Z,EUR,corporate,CORP-004,1060.43,74.23,43.12,0.0,159.06,1018.72,paid
INV-00105,BKG-00105,2025-12-09T09:00:00Z,AUD,passenger,PSG-00071,3096.92,216.78,142.42,333.33,0.0,3789.45,paid
INV-00106,BKG-00106,2025-11-19T09:00:00Z,ZAR,passenger,PSG-00141,370292.22,25920.45,2611.11,1481.48,0.0,400305.26,paid
INV-00107,BKG-00107,2025-12-16T09:00:00Z,EUR,corporate,CORP-001,1820.9,127.46,86.24,201.83,218.51,2017.92,paid
INV-00108,BKG-00108,2026-01-11T09:00:00Z,ZAR,passenger,PSG-00041,13706.92,959.48,870.37,462.96,0.0,15999.73,paid
INV-00109,BKG-00109,2025-12-04T09:00:00Z,EUR,passenger,PSG-00087,2928.64,205.0,43.12,0.0,0.0,3176.76,paid
INV-00110,BKG-00110,2025-11-06T09:00:00Z,USD,passenger,PSG-00028,1265.5,88.58,94.0,0.0,0.0,1448.08,paid
INV-00111,BKG-00111,2025-12-27T09:00:00Z,CAD,travel_agent,TA-006,142.72,9.99,63.52,297.3,0.0,513.53,paid
INV-00112,BKG-00112,2025-12-20T09:00:00Z,JPY,passenger,PSG-00078,574298.51,40200.9,7014.92,2985.07,0.0,624499.4,paid
INV-00113,BKG-00113,2025-11-17T09:00:00Z,GBP,passenger,PSG-00013,227.95,15.96,37.01,0.0,0.0,280.92,refunded
INV-00114,BKG-00114,2025-12-02T09:00:00Z,BRL,corporate,CORP-004,16833.01,1178.31,276.47,0.0,2524.95,15762.84,paid
INV-00115,BKG-00115,2026-01-19T09:00:00Z,EUR,passenger,PSG-00078,1455.31,101.87,43.12,22.94,0.0,1623.24,paid
INV-00116,BKG-00116,2025-12-12T09:00:00Z,EUR,corporate,CORP-003,427.16,29.9,43.12,0.0,34.17,466.01,paid
INV-00117,BKG-00117,2025-11-23T09:00:00Z,GBP,corporate,CORP-004,7482.68,523.78,74.02,188.98,1122.4,7147.06,paid
INV-00118,BKG-00118,2025-12-09T09:00:00Z,CNY,corporate,CORP-003,1578.36,110.49,338.13,0.0,126.27,1900.71,paid
INV-00119,BKG-00119,2025-12-15T09:00:00Z,EUR,passenger,PSG-00060,4365.93,305.61,129.36,96.33,0.0,4897.23,paid
INV-00120,BKG-00120,2025-11-19T09:00:00Z,EUR,passenger,PSG-00100,683.62,47.85,43.12,77.99,22.94,829.64,paid
INV-00121,BKG-00121,2025-12-10T09:00:00Z,EUR,travel_agent,TA-003,5378.85,376.53,129.36,55.04,0.0,5939.78,paid
INV-00122,BKG-00122,2025-12-20T09:00:00Z,SGD,passenger,PSG-00112,9296.2,650.74,126.18,0.0,0.0,10073.12,paid
INV-00123,BKG-00123,2025-11-17T09:00:00Z,JPY,passenger,PSG-00011,53194.7,3723.63,7014.92,8208.96,0.0,72142.21,paid
INV-00124,BKG-00124,2025-11-04T09:00:00Z,CNY,travel_agent,TA-006,5779.57,404.57,338.13,0.0,0.0,6522.27,paid
INV-00125,BKG-00125,2025-12-27T09:00:00Z,CAD,passenger,PSG-00092,3350.55,234.54,190.56,0.0,0.0,3775.65,paid
INV-00126,BKG-00126,2025-12-22T09:00:00Z,TRY,travel_agent,TA-005,120004.0,8400.28,1566.67,0.0,0.0,129970.95,paid
INV-00127,BKG-00127,2025-11-25T09:00:00Z,EUR,corporate,CORP-005,1874.0,131.18,86.24,266.05,187.4,2170.07,paid
INV-00128,BKG-00128,2025-12-20T09:00:00Z,SGD,passenger,PSG-00016,849.33,59.45,63.09,0.0,0.0,971.87,paid
INV-00129,BKG-00129,2025-12-06T09:00:00Z,EUR,passenger,PSG-00140,1271.26,88.98,86.24,55.04,0.0,1501.52,issued
INV-00130,BKG-00130,2025-12-20T09:00:00Z,BRL,passenger,PSG-00008,18951.76,1326.62,276.47,0.0,0.0,20554.85,paid
INV-00131,BKG-00131,2025-12-20T09:00:00Z,EUR,corporate,CORP-001,13396.92,937.77,129.36,201.83,1607.63,13058.25,paid
INV-00132,BKG-00132,2025-12-24T09:00:00Z,EUR,travel_agent,TA-003,684.88,47.94,86.24,77.99,0.0,897.05,paid
INV-00133,BKG-00133,2025-11-12T09:00:00Z,TRY,travel_agent,TA-004,64890.67,4542.35,1566.67,0.0,0.0,70999.69,paid
INV-00134,BKG-00134,2025-12-20T09:00:00Z,EUR,corporate,CORP-001,1397.51,97.83,43.12,0.0,167.7,1370.76,paid
INV-00135,BKG-00135,2025-12-27T09:00:00Z,BRL,travel_agent,TA-007,17966.5,1257.66,552.94,352.94,0.0,20130.04,paid
INV-00136,BKG-00136,2025-12-15T09:00:00Z,AED,corporate,CORP-004,2607.59,182.53,172.6,0.0,391.14,2571.58,paid
INV-00137,BKG-00137,2025-11-19T09:00:00Z,USD,passenger,PSG-00099,3984.84,278.94,47.0,0.0,0.0,4310.78,issued
INV-00138,BKG-00138,2025-11-03T09:00:00Z,SGD,corporate,CORP-002,3000.6,210.03,189.27,167.79,300.06,3267.63,paid
INV-00139,BKG-00139,2025-12-25T09:00:00Z,CNY,passenger,PSG-00004,10243.57,717.05,338.13,827.33,0.0,12126.08,paid
INV-00140,BKG-00140,2025-11-19T09:00:00Z,EUR,passenger,PSG-00094,2358.16,165.08,86.24,0.0,0.0,2609.48,paid
INV-00141,BKG-00141,2025-12-04T09:00:00Z,CAD,passenger,PSG-00075,855.07,59.85,63.52,27.03,0.0,1005.47,paid
INV-00142,BKG-00142,2025-12-04T09:00:00Z,AUD,passenger,PSG-00117,8488.56,594.2,142.42,0.0,0.0,9225.18,paid
INV-00143,BKG-00143,2025-12-08T09:00:00Z,USD,corporate,CORP-004,7349.34,514.44,141.0,25.0,1102.4,6927.38,paid
INV-00144,BKG-00144,2025-11-24T09:00:00Z,AUD,travel_agent,TA-008,4956.43,346.95,71.21,83.33,0.0,5457.92,paid
INV-00145,BKG-00145,2025-12-10T09:00:00Z,EUR,passenger,PSG-00138,826.98,57.88,86.24,18.35,0.0,989.45,paid
INV-00146,BKG-00146,2025-11-12T09:00:00Z,ZAR,corporate,CORP-004,35583.7,2490.86,870.37,370.37,5337.55,33977.75,paid
INV-00147,BKG-00147,2025-12-27T09:00:00Z,EUR,passenger,PSG-00149,6328.65,443.01,43.12,243.11,0.0,7057.89,paid
INV-00148,BKG-00148,2025-11-12T09:00:00Z,CAD,passenger,PSG-00063,214.98,15.05,63.52,0.0,10.75,282.8,paid
INV-00149,BKG-00149,2025-12-14T09:00:00Z,CNY,corporate,CORP-004,35248.58,2467.4,676.26,179.86,5287.29,33284.81,paid
INV-00150,BKG-00150,2025-11-05T09:00:00Z,EUR,passenger,PSG-00042,5092.45,356.47,43.12,55.05,0.0,5547.09,issued
INV-00151,BKG-00151,2025-12-24T09:00:00Z,EUR,travel_agent,TA-002,1488.13,104.17,43.12,0.0,0.0,1635.42,paid
INV-00152,BKG-00152,2025-12-18T09:00:00Z,EUR,corporate,CORP-002,1431.66,100.22,86.24,41.28,143.17,1516.23,paid
INV-00153,BKG-00153,2025-12-05T09:00:00Z,AUD,travel_agent,TA-005,4390.84,307.36,71.21,0.0,0.0,4769.41,paid
INV-00154,BKG-00154,2025-12-12T09:00:00Z,EUR,travel_agent,TA-001,5966.19,417.63,43.12,59.63,0.0,6486.57,paid
INV-00155,BKG-00155,2025-12-28T09:00:00Z,TRY,passenger,PSG-00113,69283.8,4849.86,4700.01,7833.33,3464.19,83202.81,paid
INV-00156,BKG-00156,2025-12-14T09:00:00Z,JPY,passenger,PSG-00059,211954.62,14836.82,14029.84,3731.34,0.0,244552.62,paid
INV-00157,BKG-00157,2025-12-25T09:00:00Z,AUD,corporate,CORP-003,1145.24,80.17,71.21,0.0,91.62,1205.0,issued
INV-00158,BKG-00158,2025-11-24T09:00:00Z,TRY,travel_agent,TA-008,373404.0,26138.28,3133.34,9166.66,0.0,411842.28,paid
INV-00159,BKG-00159,2025-12-27T09:00:00Z,EUR,passenger,PSG-00018,878.37,61.49,43.12,0.0,0.0,982.98,paid
INV-00160,BKG-00160,2025-12-19T09:00:00Z,JPY,travel_agent,TA-001,276694.33,19368.6,7014.92,0.0,0.0,303077.85,paid
INV-00161,BKG-00161,2025-12-21T09:00:00Z,EUR,passenger,PSG-00081,651.42,45.6,43.12,91.74,0.0,831.88,paid
INV-00162,BKG-00162,2025-12-08T09:00:00Z,CNY,travel_agent,TA-006,2579.72,180.58,338.13,0.0,0.0,3098.43,paid
INV-00163,BKG-00163,2025-12-06T09:00:00Z,EUR,corporate,CORP-001,1434.69,100.43,43.12,55.04,172.16,1461.12,paid
INV-00164,BKG-00164,2025-12-01T09:00:00Z,EUR,passenger,PSG-00105,657.94,46.06,86.24,73.4,0.0,863.64,paid
INV-00165,BKG-00165,2025-12-23T09:00:00Z,EUR,travel_agent,TA-002,5728.63,401.0,43.12,215.59,0.0,6388.34,paid
INV-00166,BKG-00166,2025-11-28T09:00:00Z,USD,corporate,CORP-001,6781.16,474.68,94.0,45.0,813.74,6581.1,paid
INV-00167,BKG-00167,2025-12-26T09:00:00Z,BRL,passenger,PSG-00142,11895.3,832.68,829.41,117.65,0.0,13675.04,paid
INV-00168,BKG-00168,2026-01-01T09:00:00Z,EUR,corporate,CORP-001,1952.53,136.68,43.12,0.0,234.3,1898.03,paid
INV-00169,BKG-00169,2025-12-22T09:00:00Z,JPY,travel_agent,TA-003,1307336.12,91513.52,14029.84,2238.81,0.0,1415118.29,paid
INV-00170,BKG-00170,2025-11-18T09:00:00Z,CNY,travel_agent,TA-004,10555.51,738.89,338.13,0.0,0.0,11632.53,paid
INV-00171,BKG-00171,2025-12-19T09:00:00Z,SGD,corporate,CORP-004,2869.0,200.82,126.18,0.0,430.35,2765.65,paid
INV-00172,BKG-00172,2025-12-25T09:00:00Z,AUD,corporate,CORP-001,4419.86,309.38,142.42,0.0,530.38,4341.28,paid
INV-00173,BKG-00173,2025-12-20T09:00:00Z,ZAR,corporate,CORP-004,17244.64,1207.12,1740.74,0.0,2586.7,17605.8,paid
INV-00174,BKG-00174,2026-01-03T09:00:00Z,SGD,travel_agent,TA-006,2037.04,142.6,126.18,0.0,0.0,2305.82,paid
INV-00175,BKG-00175,2025-11-05T09:00:00Z,SGD,passenger,PSG-00053,9048.84,633.42,126.18,33.56,0.0,9842.0,paid
INV-00176,BKG-00176,2025-12-01T09:00:00Z,AUD,corporate,CORP-005,540.01,37.8,71.21,0.0,54.0,595.02,paid
INV-00177,BKG-00177,2025-12-14T09:00:00Z,EUR,passenger,PSG-00148,2635.11,184.47,129.36,13.76,0.0,2962.7,paid
INV-00178,BKG-00178,2025-12-21T09:00:00Z,BRL,passenger,PSG-00103,8983.25,628.83,276.47,0.0,0.0,9888.55,refunded
INV-00179,BKG-00179,2025-11-14T09:00:00Z,AUD,passenger,PSG-00121,20197.76,1413.84,142.42,0.0,0.0,21754.02,paid
INV-00180,BKG-00180,2026-01-05T09:00:00Z,EUR,travel_agent,TA-001,1820.9,127.46,86.24,0.0,0.0,2034.6,issued
INV-00005-DUP,BKG-00005,2025-12-27T09:00:00Z,CAD,travel_agent,TA-001,2682.14,187.76,127.04,87.84,0.0,3084.78,paid
