flight_instance_id,schedule_id,flight_number,flight_date,origin_ident,destination_ident,aircraft_registration,scheduled_departure_utc,scheduled_arrival_utc,status
FLT-00049,SCH-00003,NB103,2026-01-17,KJFK,KORD,US-NB004,2026-01-17T17:00:00Z,2026-01-17T19:11:00Z,scheduled
FLT-00050,SCH-00003,NB103,2026-01-18,KJFK,KORD,US-NB001,2026-01-18T17:00:00Z,2026-01-18T19:11:00Z,scheduled
FLT-00051,SCH-00003,NB103,2026-01-19,KJFK,KORD,US-NB002,2026-01-19T17:00:00Z,2026-01-19T19:11:00Z,scheduled
FLT-00052,SCH-00003,NB103,2026-01-20,KJFK,KORD,US-NB003,2026-01-20T17:00:00Z,2026-01-20T19:11:00Z,scheduled
FLT-00053,SCH-00003,NB103,2026-01-21,KJFK,KORD,US-NB004,2026-01-21T17:00:00Z,2026-01-21T19:11:00Z,scheduled
FLT-00054,SCH-00003,NB103,2026-01-22,KJFK,KORD,US-NB001,2026-01-22T17:00:00Z,2026-01-22T19:11:00Z,scheduled
FLT-00055,SCH-00004,NB104,2025-12-26,KORD,KJFK,US-NB001,2025-12-26T21:30:00Z,2025-12-26T23:41:00Z,completed
FLT-00056,SCH-00004,NB104,2025-12-29,KORD,KJFK,US-NB002,2025-12-29T21:30:00Z,2025-12-29T23:41:00Z,completed
FLT-00057,SCH-00004,NB104,2025-12-31,KORD,KJFK,US-NB003,2025-12-31T21:30:00Z,2025-12-31T23:41:00Z,completed
FLT-00058,SCH-00004,NB104,2026-01-02,KORD,KJFK,US-NB004,2026-01-02T21:30:00Z,2026-01-02T23:41:00Z,completed
FLT-00059,SCH-00004,NB104,2026-01-05,KORD,KJFK,US-NB001,2026-01-05T21:30:00Z,2026-01-05T23:41:00Z,completed
FLT-00060,SCH-00004,NB104,2026-01-07,KORD,KJFK,US-NB002,2026-01-07T21:30:00Z,2026-01-07T23:41:00Z,completed
FLT-00061,SCH-00004,NB104,2026-01-09,KORD,KJFK,US-NB003,2026-01-09T21:30:00Z,2026-01-09T23:41:00Z,completed
FLT-00062,SCH-00004,NB104,2026-01-12,KORD,KJFK,US-NB004,2026-01-12T21:30:00Z,2026-01-12T23:41:00Z,completed
FLT-00063,SCH-00004,NB104,2026-01-14,KORD,KJFK,US-NB001,2026-01-14T21:30:00Z,2026-01-14T23:41:00Z,completed
FLT-00064,SCH-00004,NB104,2026-01-16,KORD,KJFK,US-NB002,2026-01-16T21:30:00Z,2026-01-16T23:41:00Z,scheduled
FLT-00065,SCH-00004,NB104,2026-01-19,KORD,KJFK,US-NB003,2026-01-19T21:30:00Z,2026-01-19T23:41:00Z,scheduled
FLT-00066,SCH-00004,NB104,2026-01-21,KORD,KJFK,US-NB004,2026-01-21T21:30:00Z,2026-01-21T23:41:00Z,scheduled
FLT-00067,SCH-00005,NB105,2025-12-25,KJFK,WSSS,US-NB001,2025-12-25T23:00:00Z,2025-12-26T16:48:00Z,completed
FLT-00068,SCH-00005,NB105,2025-12-27,KJFK,WSSS,US-NB002,2025-12-27T23:00:00Z,2025-12-28T16:48:00Z,completed
FLT-00069,SCH-00005,NB105,2025-12-30,KJFK,WSSS,US-NB003,2025-12-30T23:00:00Z,2025-12-31T16:48:00Z,completed
FLT-00070,SCH-00005,NB105,2026-01-01,KJFK,WSSS,US-NB004,2026-01-01T23:00:00Z,2026-01-02T16:48:00Z,completed
FLT-00071,SCH-00005,NB105,2026-01-03,KJFK,WSSS,US-NB001,2026-01-03T23:00:00Z,2026-01-04T16:48:00Z,completed
FLT-00072,SCH-00005,NB105,2026-01-06,KJFK,WSSS,US-NB002,2026-01-06T23:00:00Z,2026-01-07T16:48:00Z,completed
FLT-00073,SCH-00005,NB105,2026-01-08,KJFK,WSSS,US-NB003,2026-01-08T23:00:00Z,2026-01-09T16:48:00Z,completed
FLT-00074,SCH-00005,NB105,2026-01-10,KJFK,WSSS,US-NB004,2026-01-10T23:00:00Z,2026-01-11T16:48:00Z,completed
FLT-00075,SCH-00005,NB105,2026-01-13,KJFK,WSSS,US-NB001,2026-01-13T23:00:00Z,2026-01-14T16:48:00Z,completed
FLT-00076,SCH-00005,NB105,2026-01-15,KJFK,WSSS,US-NB002,2026-01-15T23:00:00Z,2026-01-16T16:48:00Z,scheduled
FLT-00077,SCH-00005,NB105,2026-01-17,KJFK,WSSS,US-NB003,2026-01-17T23:00:00Z,2026-01-18T16:48:00Z,scheduled
FLT-00078,SCH-00005,NB105,2026-01-20,KJFK,WSSS,US-NB004,2026-01-20T23:00:00Z,2026-01-21T16:48:00Z,scheduled
FLT-00079,SCH-00005,NB105,2026-01-22,KJFK,WSSS,US-NB001,2026-01-22T23:00:00Z,2026-01-23T16:48:00Z,scheduled
FLT-00080,SCH-00006,NB106,2025-12-25,WSSS,KJFK,US-NB001,2025-12-24T22:30:00Z,2025-12-25T16:18:00Z,completed
FLT-00081,SCH-00006,NB106,2025-12-26,WSSS,KJFK,US-NB002,2025-12-25T22:30:00Z,2025-12-26T16:18:00Z,completed
FLT-00082,SCH-00006,NB106,2025-12-27,WSSS,KJFK,US-NB003,2025-12-26T22:30:00Z,2025-12-27T16:18:00Z,completed
FLT-00083,SCH-00006,NB106,2025-12-28,WSSS,KJFK,US-NB004,2025-12-27T22:30:00Z,2025-12-28T16:18:00Z,completed
FLT-00084,SCH-00006,NB106,2025-12-29,WSSS,KJFK,US-NB001,2025-12-28T22:30:00Z,2025-12-29T16:18:00Z,completed
FLT-00085,SCH-00006,NB106,2025-12-30,WSSS,KJFK,US-NB002,2025-12-29T22:30:00Z,2025-12-30T16:18:00Z,completed
FLT-00086,SCH-00006,NB106,2025-12-31,WSSS,KJFK,US-NB003,2025-12-30T22:30:00Z,2025-12-31T16:18:00Z,completed
FLT-00087,SCH-00006,NB106,2026-01-01,WSSS,KJFK,US-NB004,2025-12-31T22:30:00Z,2026-01-01T16:18:00Z,completed
FLT-00088,SCH-00006,NB106,2026-01-02,WSSS,KJFK,US-NB001,2026-01-01T22:30:00Z,2026-01-02T16:18:00Z,completed
FLT-00089,SCH-00006,NB106,2026-01-03,WSSS,KJFK,US-NB002,2026-01-02T22:30:00Z,2026-01-03T16:18:00Z,completed
FLT-00090,SCH-00006,NB106,2026-01-04,WSSS,KJFK,US-NB003,2026-01-03T22:30:00Z,2026-01-04T16:18:00Z,completed
FLT-00091,SCH-00006,NB106,2026-01-05,WSSS,KJFK,US-NB004,2026-01-04T22:30:00Z,2026-01-05T16:18:00Z,completed
FLT-00092,SCH-00006,NB106,2026-01-06,WSSS,KJFK,US-NB001,2026-01-05T22:30:00Z,2026-01-06T16:18:00Z,completed
FLT-00093,SCH-00006,NB106,2026-01-07,WSSS,KJFK,US-NB002,2026-01-06T22:30:00Z,2026-01-07T16:18:00Z,completed
FLT-00094,SCH-00006,NB106,2026-01-08,WSSS,KJFK,US-NB003,2026-01-07T22:30:00Z,2026-01-08T16:18:00Z,completed
FLT-00095,SCH-00006,NB106,2026-01-09,WSSS,KJFK,US-NB004,2026-01-08T22:30:00Z,2026-01-09T16:18:00Z,completed
FLT-00096,SCH-00006,NB106,2026-01-10,WSSS,KJFK,US-NB001,2026-01-09T22:30:00Z,2026-01-10T16:18:00Z,completed
FLT-00097,SCH-00006,NB106,2026-01-11,WSSS,KJFK,US-NB002,2026-01-10T22:30:00Z,2026-01-11T16:18:00Z,completed
FLT-00098,SCH-00006,NB106,2026-01-12,WSSS,KJFK,US-NB003,2026-01-11T22:30:00Z,2026-01-12T16:18:00Z,completed
FLT-00099,SCH-00006,NB106,2026-01-13,WSSS,KJFK,US-NB004,2026-01-12T22:30:00Z,2026-01-13T16:18:00Z,completed
FLT-00100,SCH-00006,NB106,2026-01-14,WSSS,KJFK,US-NB001,2026-01-13T22:30:00Z,2026-01-14T16:18:00Z,completed
FLT-00101,SCH-00006,NB106,2026-01-15,WSSS,KJFK,US-NB002,2026-01-14T22:30:00Z,2026-01-15T16:18:00Z,scheduled
FLT-00102,SCH-00006,NB106,2026-01-16,WSSS,KJFK,US-NB003,2026-01-15T22:30:00Z,2026-01-16T16:18:00Z,scheduled
FLT-00103,SCH-00006,NB106,2026-01-17,WSSS,KJFK,US-NB004,2026-01-16T22:30:00Z,2026-01-17T16:18:00Z,scheduled
FLT-00104,SCH-00006,NB106,2026-01-18,WSSS,KJFK,US-NB001,2026-01-17T22:30:00Z,2026-01-18T16:18:00Z,scheduled
FLT-00105,SCH-00006,NB106,2026-01-19,WSSS,KJFK,US-NB002,2026-01-18T22:30:00Z,2026-01-19T16:18:00Z,scheduled
FLT-00106,SCH-00006,NB106,2026-01-20,WSSS,KJFK,US-NB003,2026-01-19T22:30:00Z,2026-01-20T16:18:00Z,scheduled
FLT-00107,SCH-00006,NB106,2026-01-21,WSSS,KJFK,US-NB004,2026-01-20T22:30:00Z,2026-01-21T16:18:00Z,scheduled
FLT-00108,SCH-00006,NB106,2026-01-22,WSSS,KJFK,US-NB001,2026-01-21T22:30:00Z,2026-01-22T16:18:00Z,scheduled
FLT-00109,SCH-00007,NB107,2025-12-26,KJFK,KLAX,US-NB001,2025-12-26T14:00:00Z,2025-12-26T19:32:00Z,completed
FLT-00110,SCH-00007,NB107,2025-12-29,KJFK,KLAX,US-NB004,2025-12-29T14:00:00Z,2025-12-29T19:32:00Z,completed
FLT-00111,SCH-00007,NB107,2025-12-31,KJFK,KLAX,US-NB001,2025-12-31T14:00:00Z,2025-12-31T19:32:00Z,completed
FLT-00112,SCH-00007,NB107,2026-01-02,KJFK,KLAX,US-NB004,2026-01-02T14:00:00Z,2026-01-02T19:32:00Z,completed
FLT-00113,SCH-00007,NB107,2026-01-05,KJFK,KLAX,US-NB001,2026-01-05T14:00:00Z,2026-01-05T19:32:00Z,completed
FLT-00114,SCH-00007,NB107,2026-01-07,KJFK,KLAX,US-NB004,2026-01-07T14:00:00Z,2026-01-07T19:32:00Z,completed
FLT-00115,SCH-00007,NB107,2026-01-09,KJFK,KLAX,US-NB001,2026-01-09T14:00:00Z,2026-01-09T19:32:00Z,completed
FLT-00116,SCH-00007,NB107,2026-01-12,KJFK,KLAX,US-NB004,2026-01-12T14:00:00Z,2026-01-12T19:32:00Z,completed
FLT-00117,SCH-00007,NB107,2026-01-14,KJFK,KLAX,US-NB001,2026-01-14T14:00:00Z,2026-01-14T19:32:00Z,completed
FLT-00118,SCH-00007,NB107,2026-01-16,KJFK,KLAX,US-NB004,2026-01-16T14:00:00Z,2026-01-16T19:32:00Z,scheduled
FLT-00119,SCH-00007,NB107,2026-01-19,KJFK,KLAX,US-NB001,2026-01-19T14:00:00Z,2026-01-19T19:32:00Z,scheduled
FLT-00120,SCH-00007,NB107,2026-01-21,KJFK,KLAX,US-NB004,2026-01-21T14:00:00Z,2026-01-21T19:32:00Z,scheduled
FLT-00121,SCH-00008,NB108,2025-12-25,KLAX,KJFK,US-NB001,2025-12-25T20:30:00Z,2025-12-26T02:02:00Z,completed
FLT-00122,SCH-00008,NB108,2025-12-27,KLAX,KJFK,US-NB004,2025-12-27T20:30:00Z,2025-12-28T02:02:00Z,completed
FLT-00123,SCH-00008,NB108,2025-12-30,KLAX,KJFK,US-NB001,2025-12-30T20:30:00Z,2025-12-31T02:02:00Z,completed
FLT-00124,SCH-00008,NB108,2026-01-01,KLAX,KJFK,US-NB004,2026-01-01T20:30:00Z,2026-01-02T02:02:00Z,completed
FLT-00125,SCH-00008,NB108,2026-01-03,KLAX,KJFK,US-NB001,2026-01-03T20:30:00Z,2026-01-04T02:02:00Z,completed
FLT-00126,SCH-00008,NB108,2026-01-06,KLAX,KJFK,US-NB004,2026-01-06T20:30:00Z,2026-01-07T02:02:00Z,completed
FLT-00127,SCH-00008,NB108,2026-01-08,KLAX,KJFK,US-NB001,2026-01-08T20:30:00Z,2026-01-09T02:02:00Z,completed
FLT-00128,SCH-00008,NB108,2026-01-10,KLAX,KJFK,US-NB004,2026-01-10T20:30:00Z,2026-01-11T02:02:00Z,completed
FLT-00129,SCH-00008,NB108,2026-01-13,KLAX,KJFK,US-NB001,2026-01-13T20:30:00Z,2026-01-14T02:02:00Z,completed
FLT-00130,SCH-00008,NB108,2026-01-15,KLAX,KJFK,US-NB004,2026-01-15T20:30:00Z,2026-01-16T02:02:00Z,scheduled
FLT-00131,SCH-00008,NB108,2026-01-17,KLAX,KJFK,US-NB001,2026-01-17T20:30:00Z,2026-01-18T02:02:00Z,scheduled
FLT-00132,SCH-00008,NB108,2026-01-20,KLAX,KJFK,US-NB004,2026-01-20T20:30:00Z,2026-01-21T02:02:00Z,scheduled
FLT-00133,SCH-00008,NB108,2026-01-22,KLAX,KJFK,US-NB001,2026-01-22T20:30:00Z,2026-01-23T02:02:00Z,scheduled
FLT-00134,SCH-00009,ZM101,2025-12-25,EGLL,CYYZ,GB-ZM003,2025-12-25T15:00:00Z,2025-12-25T22:33:00Z,completed
FLT-00135,SCH-00009,ZM101,2025-12-26,EGLL,CYYZ,GB-ZM003,2025-12-26T15:00:00Z,2025-12-26T22:33:00Z,completed
FLT-00136,SCH-00009,ZM101,2025-12-27,EGLL,CYYZ,GB-ZM003,2025-12-27T15:00:00Z,2025-12-27T22:33:00Z,completed
FLT-00137,SCH-00009,ZM101,2025-12-28,EGLL,CYYZ,GB-ZM003,2025-12-28T15:00:00Z,2025-12-28T22:33:00Z,completed
FLT-00138,SCH-00009,ZM101,2025-12-29,EGLL,CYYZ,GB-ZM003,2025-12-29T15:00:00Z,2025-12-29T22:33:00Z,completed
FLT-00139,SCH-00009,ZM101,2025-12-30,EGLL,CYYZ,GB-ZM003,2025-12-30T15:00:00Z,2025-12-30T22:33:00Z,completed
FLT-00140,SCH-00009,ZM101,2025-12-31,EGLL,CYYZ,GB-ZM003,2025-12-31T15:00:00Z,2025-12-31T22:33:00Z,completed
FLT-00141,SCH-00009,ZM101,2026-01-01,EGLL,CYYZ,GB-ZM003,2026-01-01T15:00:00Z,2026-01-01T22:33:00Z,completed
FLT-00142,SCH-00009,ZM101,2026-01-02,EGLL,CYYZ,GB-ZM003,2026-01-02T15:00:00Z,2026-01-02T22:33:00Z,completed
FLT-00143,SCH-00009,ZM101,2026-01-03,EGLL,CYYZ,GB-ZM003,2026-01-03T15:00:00Z,2026-01-03T22:33:00Z,completed
FLT-00144,SCH-00009,ZM101,2026-01-04,EGLL,CYYZ,GB-ZM003,2026-01-04T15:00:00Z,2026-01-04T22:33:00Z,completed
FLT-00145,SCH-00009,ZM101,2026-01-05,EGLL,CYYZ,GB-ZM003,2026-01-05T15:00:00Z,2026-01-05T22:33:00Z,completed
FLT-00146,SCH-00009,ZM101,2026-01-06,EGLL,CYYZ,GB-ZM003,2026-01-06T15:00:00Z,2026-01-06T22:33:00Z,completed
FLT-00147,SCH-00009,ZM101,2026-01-07,EGLL,CYYZ,GB-ZM003,2026-01-07T15:00:00Z,2026-01-07T22:33:00Z,completed
FLT-00148,SCH-00009,ZM101,2026-01-08,EGLL,CYYZ,GB-ZM003,2026-01-08T15:00:00Z,2026-01-08T22:33:00Z,completed
FLT-00149,SCH-00009,ZM101,2026-01-09,EGLL,CYYZ,GB-ZM003,2026-01-09T15:00:00Z,2026-01-09T22:33:00Z,completed
FLT-00150,SCH-00009,ZM101,2026-01-10,EGLL,CYYZ,GB-ZM003,2026-01-10T15:00:00Z,2026-01-10T22:33:00Z,completed
FLT-00151,SCH-00009,ZM101,2026-01-11,EGLL,CYYZ,GB-ZM003,2026-01-11T15:00:00Z,2026-01-11T22:33:00Z,completed
FLT-00152,SCH-00009,ZM101,2026-01-12,EGLL,CYYZ,GB-ZM003,2026-01-12T15:00:00Z,2026-01-12T22:33:00Z,completed
FLT-00153,SCH-00009,ZM101,2026-01-13,EGLL,CYYZ,GB-ZM003,2026-01-13T15:00:00Z,2026-01-13T22:33:00Z,completed
FLT-00154,SCH-00009,ZM101,2026-01-14,EGLL,CYYZ,GB-ZM003,2026-01-14T15:00:00Z,2026-01-14T22:33:00Z,completed
FLT-00155,SCH-00009,ZM101,2026-01-15,EGLL,CYYZ,GB-ZM003,2026-01-15T15:00:00Z,2026-01-15T22:33:00Z,scheduled
FLT-00156,SCH-00009,ZM101,2026-01-16,EGLL,CYYZ,GB-ZM003,2026-01-16T15:00:00Z,2026-01-16T22:33:00Z,scheduled
FLT-00157,SCH-00009,ZM101,2026-01-17,EGLL,CYYZ,GB-ZM003,2026-01-17T15:00:00Z,2026-01-17T22:33:00Z,scheduled
FLT-00158,SCH-00009,ZM101,2026-01-18,EGLL,CYYZ,GB-ZM003,2026-01-18T15:00:00Z,2026-01-18T22:33:00Z,scheduled
FLT-00159,SCH-00009,ZM101,2026-01-19,EGLL,CYYZ,GB-ZM003,2026-01-19T15:00:00Z,2026-01-19T22:33:00Z,scheduled
FLT-00160,SCH-00009,ZM101,2026-01-20,EGLL,CYYZ,GB-ZM003,2026-01-20T15:00:00Z,2026-01-20T22:33:00Z,scheduled
FLT-00161,SCH-00009,ZM101,2026-01-21,EGLL,CYYZ,GB-ZM003,2026-01-21T15:00:00Z,2026-01-21T22:33:00Z,scheduled
FLT-00162,SCH-00009,ZM101,2026-01-22,EGLL,CYYZ,GB-ZM003,2026-01-22T15:00:00Z,2026-01-22T22:33:00Z,scheduled
FLT-00163,SCH-00010,ZM102,2025-12-26,CYYZ,EGLL,GB-ZM003,2025-12-26T23:30:00Z,2025-12-27T07:03:00Z,completed
FLT-00164,SCH-00010,ZM102,2025-12-29,CYYZ,EGLL,GB-ZM003,2025-12-29T23:30:00Z,2025-12-30T07:03:00Z,completed
FLT-00165,SCH-00010,ZM102,2025-12-31,CYYZ,EGLL,GB-ZM003,2025-12-31T23:30:00Z,2026-01-01T07:03:00Z,completed
FLT-00166,SCH-00010,ZM102,2026-01-02,CYYZ,EGLL,GB-ZM003,2026-01-02T23:30:00Z,2026-01-03T07:03:00Z,completed
FLT-00167,SCH-00010,ZM102,2026-01-05,CYYZ,EGLL,GB-ZM003,2026-01-05T23:30:00Z,2026-01-06T07:03:00Z,completed
FLT-00168,SCH-00010,ZM102,2026-01-07,CYYZ,EGLL,GB-ZM003,2026-01-07T23:30:00Z,2026-01-08T07:03:00Z,completed
FLT-00169,SCH-00010,ZM102,2026-01-09,CYYZ,EGLL,GB-ZM003,2026-01-09T23:30:00Z,2026-01-10T07:03:00Z,completed
FLT-00170,SCH-00010,ZM102,2026-01-12,CYYZ,EGLL,GB-ZM003,2026-01-12T23:30:00Z,2026-01-13T07:03:00Z,completed
FLT-00171,SCH-00010,ZM102,2026-01-14,CYYZ,EGLL,GB-ZM003,2026-01-14T23:30:00Z,2026-01-15T07:03:00Z,completed
FLT-00172,SCH-00010,ZM102,2026-01-16,CYYZ,EGLL,GB-ZM003,2026-01-16T23:30:00Z,2026-01-17T07:03:00Z,scheduled
FLT-00173,SCH-00010,ZM102,2026-01-19,CYYZ,EGLL,GB-ZM003,2026-01-19T23:30:00Z,2026-01-20T07:03:00Z,scheduled
FLT-00174,SCH-00010,ZM102,2026-01-21,CYYZ,EGLL,GB-ZM003,2026-01-21T23:30:00Z,2026-01-22T07:03:00Z,scheduled
FLT-00175,SCH-00011,ZM103,2025-12-25,EGLL,KSFO,GB-ZM001,2025-12-25T06:00:00Z,2025-12-25T16:19:00Z,completed
FLT-00176,SCH-00011,ZM103,2025-12-27,EGLL,KSFO,GB-ZM002,2025-12-27T06:00:00Z,2025-12-27T16:19:00Z,completed
FLT-00177,SCH-00011,ZM103,2025-12-30,EGLL,KSFO,GB-ZM003,2025-12-30T06:00:00Z,2025-12-30T16:19:00Z,completed
FLT-00178,SCH-00011,ZM103,2026-01-01,EGLL,KSFO,GB-ZM004,2026-01-01T06:00:00Z,2026-01-01T16:19:00Z,completed
FLT-00179,SCH-00011,ZM103,2026-01-03,EGLL,KSFO,GB-ZM001,2026-01-03T06:00:00Z,2026-01-03T16:19:00Z,completed
FLT-00180,SCH-00011,ZM103,2026-01-06,EGLL,KSFO,GB-ZM002,2026-01-06T06:00:00Z,2026-01-06T16:19:00Z,completed
FLT-00181,SCH-00011,ZM103,2026-01-08,EGLL,KSFO,GB-ZM003,2026-01-08T06:00:00Z,2026-01-08T16:19:00Z,completed
FLT-00182,SCH-00011,ZM103,2026-01-10,EGLL,KSFO,GB-ZM004,2026-01-10T06:00:00Z,2026-01-10T16:19:00Z,completed
FLT-00183,SCH-00011,ZM103,2026-01-13,EGLL,KSFO,GB-ZM001,2026-01-13T06:00:00Z,2026-01-13T16:19:00Z,completed
