ancillary_service_id,ticket_id,service_code,quantity,unit_price,currency,fulfilment_status,purchase_date_utc
ANC-00021,TKT-00036,BAG20,1,264.71,BRL,fulfilled,2025-12-31T09:00:00Z
ANC-00022,TKT-00038,SEATPR,1,25.0,USD,fulfilled,2025-12-01T09:00:00Z
ANC-00023,TKT-00041,UPGCB,1,201.83,EUR,pending,2026-01-14T09:00:00Z
ANC-00024,TKT-00042,LOUNGE,1,1018.52,ZAR,fulfilled,2025-12-13T09:00:00Z
ANC-00025,TKT-00043,WIFI,1,13.76,EUR,fulfilled,2025-12-05T09:00:00Z
ANC-00026,TKT-00044,SEATPR,1,22.94,EUR,fulfilled,2025-12-05T09:00:00Z
ANC-00027,TKT-00051,LOUNGE,1,83.33,AUD,pending,2025-12-21T09:00:00Z
ANC-00028,TKT-00054,WIFI,1,13.76,EUR,fulfilled,2025-12-13T09:00:00Z
ANC-00029,TKT-00058,UPGCB,1,201.83,EUR,fulfilled,2025-11-20T09:00:00Z
ANC-00030,TKT-00058,BAG20,1,41.28,EUR,fulfilled,2025-11-20T09:00:00Z
ANC-00031,TKT-00059,MEALSP,1,18.35,EUR,fulfilled,2025-11-20T09:00:00Z
ANC-00032,TKT-00060,SEATPR,1,22.94,EUR,fulfilled,2025-11-20T09:00:00Z
ANC-00033,TKT-00061,SEATXL,1,80.54,SGD,fulfilled,2025-11-11T09:00:00Z
ANC-00034,TKT-00068,MEALSP,1,18.35,EUR,fulfilled,2025-11-28T09:00:00Z
ANC-00035,TKT-00070,SEATXL,1,220.35,AED,fulfilled,2025-12-30T09:00:00Z
ANC-00036,TKT-00074,SEATXL,1,47.24,GBP,pending,2025-12-26T09:00:00Z
ANC-00037,TKT-00076,BAG20,1,41.28,EUR,fulfilled,2025-11-25T09:00:00Z
ANC-00038,TKT-00077,LOUNGE,1,83.33,AUD,fulfilled,2025-12-16T09:00:00Z
ANC-00039,TKT-00078,WIFI,1,22.73,AUD,fulfilled,2025-12-16T09:00:00Z
ANC-00040,TKT-00079,UPGCB,1,1582.73,CNY,pending,2025-12-09T09:00:00Z
ANC-00041,TKT-00080,UPGCB,1,201.83,EUR,fulfilled,2025-12-08T09:00:00Z
ANC-00042,TKT-00083,LOUNGE,1,83.33,AUD,pending,2025-12-02T09:00:00Z
ANC-00043,TKT-00084,SEATXL,1,55.05,EUR,fulfilled,2025-11-10T09:00:00Z
ANC-00044,TKT-00084,UPGCB,1,201.83,EUR,fulfilled,2025-11-10T09:00:00Z
ANC-00045,TKT-00085,MEALSP,1,18.35,EUR,fulfilled,2025-11-10T09:00:00Z
ANC-00046,TKT-00091,SEATXL,1,352.94,BRL,pending,2026-01-18T09:00:00Z
ANC-00047,TKT-00094,WIFI,1,277.78,ZAR,fulfilled,2025-12-10T09:00:00Z
ANC-00048,TKT-00099,UPGCB,1,201.83,EUR,pending,2025-12-12T09:00:00Z
ANC-00049,TKT-00099,SEATXL,1,55.05,EUR,pending,2025-12-12T09:00:00Z
ANC-00050,TKT-00104,LOUNGE,1,55.0,USD,pending,2025-12-08T09:00:00Z
ANC-00051,TKT-00109,MEALSP,1,370.37,ZAR,fulfilled,2025-11-24T09:00:00Z
ANC-00052,TKT-00109,SEATXL,1,1111.11,ZAR,fulfilled,2025-11-24T09:00:00Z
ANC-00053,TKT-00113,WIFI,1,13.76,EUR,pending,2025-12-02T09:00:00Z
ANC-00054,TKT-00114,LOUNGE,1,1018.52,ZAR,pending,2026-01-14T09:00:00Z
ANC-00055,TKT-00114,MEALSP,1,370.37,ZAR,pending,2026-01-14T09:00:00Z
ANC-00056,TKT-00117,WIFI,1,277.78,ZAR,pending,2025-12-19T09:00:00Z
ANC-00057,TKT-00118,SEATXL,1,90.91,AUD,pending,2025-12-29T09:00:00Z
ANC-00058,TKT-00119,LOUNGE,1,74.32,CAD,fulfilled,2025-12-25T09:00:00Z
ANC-00059,TKT-00121,WIFI,1,22.73,AUD,pending,2026-01-04T09:00:00Z
ANC-00060,TKT-00121,BAG20,1,68.18,AUD,pending,2026-01-04T09:00:00Z
ANC-00061,TKT-00127,BAG20,1,1500.0,TRY,fulfilled,2025-11-16T09:00:00Z
ANC-00062,TKT-00128,UPGCB,1,7333.33,TRY,fulfilled,2025-11-16T09:00:00Z
ANC-00063,TKT-00132,WIFI,1,20.27,CAD,pending,2026-01-04T09:00:00Z
ANC-00064,TKT-00132,SEATPR,1,33.78,CAD,pending,2026-01-04T09:00:00Z
ANC-00065,TKT-00133,LOUNGE,1,50.46,EUR,fulfilled,2025-11-12T09:00:00Z
ANC-00066,TKT-00140,SEATPR,1,22.94,EUR,pending,2025-11-20T09:00:00Z
ANC-00067,TKT-00142,SEATPR,1,3731.34,JPY,pending,2025-12-11T09:00:00Z
ANC-00068,TKT-00143,BAG20,1,35.43,GBP,pending,2025-12-02T09:00:00Z
ANC-00069,TKT-00144,MEALSP,1,15.75,GBP,pending,2025-12-09T09:00:00Z
ANC-00070,TKT-00146,MEALSP,1,143.88,CNY,fulfilled,2025-11-05T09:00:00Z
ANC-00071,TKT-00147,SEATXL,1,8955.22,JPY,pending,2025-12-18T09:00:00Z
ANC-00072,TKT-00149,SEATPR,1,37.88,AUD,fulfilled,2026-01-05T09:00:00Z
ANC-00073,TKT-00150,SEATPR,1,37.88,AUD,fulfilled,2026-01-05T09:00:00Z
ANC-00074,TKT-00150,BAG20,1,68.18,AUD,fulfilled,2026-01-05T09:00:00Z
ANC-00075,TKT-00156,SEATXL,1,55.05,EUR,pending,2025-11-22T09:00:00Z
ANC-00076,TKT-00157,WIFI,1,13.76,EUR,fulfilled,2025-12-06T09:00:00Z
ANC-00077,TKT-00158,SEATPR,1,22.94,EUR,fulfilled,2025-12-06T09:00:00Z
ANC-00078,TKT-00158,MEALSP,1,18.35,EUR,fulfilled,2025-12-06T09:00:00Z
ANC-00079,TKT-00159,BAG20,1,41.28,EUR,fulfilled,2025-11-14T09:00:00Z
ANC-00080,TKT-00159,UPGCB,1,201.83,EUR,fulfilled,2025-11-14T09:00:00Z
ANC-00081,TKT-00165,MEALSP,1,143.88,CNY,fulfilled,2025-12-01T09:00:00Z
ANC-00082,TKT-00165,WIFI,1,107.91,CNY,fulfilled,2025-12-01T09:00:00Z
ANC-00083,TKT-00166,SEATPR,1,179.86,CNY,fulfilled,2025-12-01T09:00:00Z
ANC-00084,TKT-00169,UPGCB,1,333.33,AUD,pending,2025-12-09T09:00:00Z
ANC-00085,TKT-00171,LOUNGE,1,1018.52,ZAR,fulfilled,2025-11-19T09:00:00Z
ANC-00086,TKT-00172,SEATPR,1,462.96,ZAR,fulfilled,2025-11-19T09:00:00Z
ANC-00087,TKT-00174,UPGCB,1,201.83,EUR,fulfilled,2025-12-16T09:00:00Z
ANC-00088,TKT-00176,SEATPR,1,462.96,ZAR,pending,2026-01-11T09:00:00Z
ANC-00089,TKT-00180,UPGCB,1,297.3,CAD,fulfilled,2025-12-27T09:00:00Z
ANC-00090,TKT-00181,MEALSP,1,2985.07,JPY,pending,2025-12-20T09:00:00Z
ANC-00091,TKT-00184,SEATPR,1,22.94,EUR,pending,2026-01-19T09:00:00Z
ANC-00092,TKT-00187,UPGCB,1,173.23,GBP,fulfilled,2025-11-23T09:00:00Z
ANC-00093,TKT-00187,MEALSP,1,15.75,GBP,fulfilled,2025-11-23T09:00:00Z
ANC-00094,TKT-00189,BAG20,1,41.28,EUR,fulfilled,2025-12-15T09:00:00Z
ANC-00095,TKT-00191,SEATXL,1,55.05,EUR,fulfilled,2025-12-15T09:00:00Z
ANC-00096,TKT-00192,SEATXL,1,55.05,EUR,pending,2025-11-19T09:00:00Z
ANC-00097,TKT-00192,SEATPR,1,22.94,EUR,pending,2025-11-19T09:00:00Z
ANC-00098,TKT-00193,WIFI,1,13.76,EUR,pending,2025-12-10T09:00:00Z
ANC-00099,TKT-00194,BAG20,1,41.28,EUR,pending,2025-12-10T09:00:00Z
ANC-00100,TKT-00198,LOUNGE,1,8208.96,JPY,fulfilled,2025-11-17T09:00:00Z
ANC-00101,TKT-00204,UPGCB,1,201.83,EUR,pending,2025-11-25T09:00:00Z
ANC-00102,TKT-00205,LOUNGE,1,50.46,EUR,pending,2025-11-25T09:00:00Z
ANC-00103,TKT-00205,WIFI,1,13.76,EUR,pending,2025-11-25T09:00:00Z
ANC-00104,TKT-00207,BAG20,1,41.28,EUR,fulfilled,2025-12-06T09:00:00Z
ANC-00105,TKT-00208,WIFI,1,13.76,EUR,fulfilled,2025-12-06T09:00:00Z
ANC-00106,TKT-00212,UPGCB,1,201.83,EUR,pending,2025-12-20T09:00:00Z
ANC-00107,TKT-00214,SEATPR,1,22.94,EUR,fulfilled,2025-12-24T09:00:00Z
ANC-00108,TKT-00214,SEATXL,1,55.05,EUR,fulfilled,2025-12-24T09:00:00Z
ANC-00109,TKT-00218,SEATXL,1,352.94,BRL,pending,2025-12-27T09:00:00Z
ANC-00110,TKT-00221,BAG20,1,60.4,SGD,fulfilled,2025-11-03T09:00:00Z
ANC-00111,TKT-00223,SEATXL,1,80.54,SGD,fulfilled,2025-11-03T09:00:00Z
ANC-00112,TKT-00223,MEALSP,1,26.85,SGD,fulfilled,2025-11-03T09:00:00Z
ANC-00113,TKT-00224,LOUNGE,1,395.68,CNY,pending,2025-12-25T09:00:00Z
ANC-00114,TKT-00224,SEATXL,1,431.65,CNY,pending,2025-12-25T09:00:00Z
ANC-00115,TKT-00227,MEALSP,1,27.03,CAD,pending,2025-12-04T09:00:00Z
ANC-00116,TKT-00232,SEATPR,1,25.0,USD,fulfilled,2025-12-08T09:00:00Z
ANC-00117,TKT-00233,LOUNGE,1,83.33,AUD,fulfilled,2025-11-24T09:00:00Z
ANC-00118,TKT-00234,MEALSP,1,18.35,EUR,pending,2025-12-10T09:00:00Z
ANC-00119,TKT-00236,MEALSP,1,370.37,ZAR,fulfilled,2025-11-12T09:00:00Z
ANC-00120,TKT-00237,UPGCB,1,201.83,EUR,pending,2025-12-27T09:00:00Z
ANC-00121,TKT-00237,BAG20,1,41.28,EUR,pending,2025-12-27T09:00:00Z
ANC-00122,TKT-00240,SEATPR,1,179.86,CNY,fulfilled,2025-12-14T09:00:00Z
ANC-00123,TKT-00241,SEATXL,1,55.05,EUR,fulfilled,2025-11-05T09:00:00Z
ANC-00124,TKT-00244,BAG20,1,41.28,EUR,pending,2025-12-18T09:00:00Z
ANC-00125,TKT-00246,MEALSP,1,18.35,EUR,fulfilled,2025-12-12T09:00:00Z
ANC-00126,TKT-00246,BAG20,1,41.28,EUR,fulfilled,2025-12-12T09:00:00Z
ANC-00127,TKT-00247,UPGCB,1,7333.33,TRY,pending,2025-12-28T09:00:00Z
ANC-00128,TKT-00249,WIFI,1,500.0,TRY,pending,2025-12-28T09:00:00Z
ANC-00129,TKT-00250,SEATPR,1,3731.34,JPY,pending,2025-12-14T09:00:00Z
ANC-00130,TKT-00253,UPGCB,1,7333.33,TRY,fulfilled,2025-11-24T09:00:00Z
ANC-00131,TKT-00253,LOUNGE,1,1833.33,TRY,fulfilled,2025-11-24T09:00:00Z
ANC-00132,TKT-00257,BAG20,1,41.28,EUR,fulfilled,2025-12-21T09:00:00Z
ANC-00133,TKT-00257,LOUNGE,1,50.46,EUR,fulfilled,2025-12-21T09:00:00Z
ANC-00134,TKT-00259,WIFI,1,13.76,EUR,fulfilled,2025-12-06T09:00:00Z
ANC-00135,TKT-00259,BAG20,1,41.28,EUR,fulfilled,2025-12-06T09:00:00Z
ANC-00136,TKT-00260,MEALSP,1,18.35,EUR,fulfilled,2025-12-01T09:00:00Z
ANC-00137,TKT-00261,SEATXL,1,55.05,EUR,fulfilled,2025-12-01T09:00:00Z
ANC-00138,TKT-00262,WIFI,1,13.76,EUR,fulfilled,2025-12-23T09:00:00Z
ANC-00139,TKT-00262,UPGCB,1,201.83,EUR,fulfilled,2025-12-23T09:00:00Z
ANC-00140,TKT-00264,SEATPR,1,25.0,USD,fulfilled,2025-11-28T09:00:00Z
ANC-00141,TKT-00264,MEALSP,1,20.0,USD,fulfilled,2025-11-28T09:00:00Z
ANC-00142,TKT-00266,MEALSP,1,117.65,BRL,pending,2025-12-26T09:00:00Z
ANC-00143,TKT-00270,WIFI,1,2238.81,JPY,pending,2025-12-22T09:00:00Z
ANC-00144,TKT-00280,SEATPR,1,33.56,SGD,fulfilled,2025-11-05T09:00:00Z
ANC-00145,TKT-00284,WIFI,1,13.76,EUR,pending,2025-12-14T09:00:00Z
